B,candidate_idx,sample_idx,d,rank
100,0,0,2.2153750006441255,14
100,1,0,3.2116912158033597,16
100,2,0,0.42850634241836655,6
100,3,0,11.087285640048783,24
100,4,0,1.8104997108336143,13
100,5,0,15.861070689031104,26
100,6,0,5.659053286332705,20
100,7,0,0.10748336060952164,3
100,8,0,3.519104068789494,17
100,9,0,3.99885650412899,18
100,10,0,0.46469537648342857,7
100,11,0,1.2119394812837667,12
100,12,0,4.924609880143576,19
100,13,0,12.47674829520209,25
100,14,0,0.6840665432942209,10
100,15,0,22.704323966191453,28
100,16,0,0.08461146845526599,0
100,17,0,9.765223197672737,23
100,18,0,18.974264809765238,27
100,19,0,0.11730259592122533,4
100,20,0,0.4716108940935065,8
100,21,0,6.689398410278797,21
100,22,0,1.0402776260079953,11
100,23,0,32.204917879568484,29
100,24,0,2.232849011041331,15
100,25,0,7.348203048982773,22
100,26,0,0.3197031097566278,5
100,27,0,0.10441398271767893,2
100,28,0,0.0992490348305282,1
100,29,0,0.5166921928151749,9
100,0,1,2.0328645097615508,15
100,1,1,3.867534205235175,18
100,2,1,0.3661625642393849,6
100,3,1,11.622618912894808,25
100,4,1,1.763026393345111,13
100,5,1,18.526497900918976,27
100,6,1,6.735010987353027,20
100,7,1,0.10182191405814622,0
100,8,1,2.917565398271538,16
100,9,1,3.8307622105747794,17
100,10,1,0.48088754803076167,8
100,11,1,1.1147595984621537,12
100,12,1,5.352533269572579,19
100,13,1,10.445794039054599,24
100,14,1,0.717863219512277,10
100,15,1,28.46722732063934,28
100,16,1,0.10357544303949837,1
100,17,1,9.996269881970683,23
100,18,1,18.09924590986917,26
100,19,1,0.11346342424598509,4
100,20,1,0.45082186192236906,7
100,21,1,7.958939182289001,21
100,22,1,1.0146901210678276,11
100,23,1,33.214263124938824,29
100,24,1,1.9038252885528175,14
100,25,1,9.463553067936466,22
100,26,1,0.29610731633395326,5
100,27,1,0.10975414582145279,3
100,28,1,0.10648000649693473,2
100,29,1,0.5038360928661341,9
100,0,2,1.6882467116483844,13
100,1,2,3.934441080599548,18
100,2,2,0.40464556253872813,6
100,3,2,11.117432993569837,24
100,4,2,2.035396350751223,14
100,5,2,22.32844799711872,27
100,6,2,6.088979803541754,20
100,7,2,0.11132593294830091,2
100,8,2,2.323637847065342,15
100,9,2,3.5744179375354914,17
100,10,2,0.5578553280500612,8
100,11,2,1.2550538714568829,12
100,12,2,4.755172024280787,19
100,13,2,13.369284985007672,25
100,14,2,0.7598078245535909,10
100,15,2,28.01335462807913,28
100,16,2,0.09686626116854113,0
100,17,2,10.805549031063187,23
100,18,2,21.3680271347543,26
100,19,2,0.11246880630444671,3
100,20,2,0.5306622269098837,7
100,21,2,7.43927813427185,21
100,22,2,1.152433742671354,11
100,23,2,32.44874060822052,29
100,24,2,2.4206485245515945,16
100,25,2,8.257805826439709,22
100,26,2,0.38439702395661557,5
100,27,2,0.11528392688104043,4
100,28,2,0.10574932729953064,1
100,29,2,0.6348890881797937,9
100,0,3,1.8940236777016903,13
100,1,3,3.51710231714811,17
100,2,3,0.4281146528837667,7
100,3,3,11.770528053609207,25
100,4,3,2.115255005435193,14
100,5,3,21.182001849419983,27
100,6,3,6.036068928978008,20
100,7,3,0.10289131477651,0
100,8,3,3.5356472671313224,18
100,9,3,3.2237373162102925,16
100,10,3,0.48561862707044234,8
100,11,3,1.391791713457077,12
100,12,3,4.767718814795338,19
100,13,3,11.686378833452121,24
100,14,3,0.5865791326194992,9
100,15,3,26.83087586036305,29
100,16,3,0.10872052386734653,2
100,17,3,10.880981233658563,23
100,18,3,20.23221832360222,26
100,19,3,0.10523373849278181,1
100,20,3,0.407592271737269,6
100,21,3,6.203525641365843,21
100,22,3,1.0491175090908067,11
