epoch,train_acc,test_acc,train_loss,epoch_time_s
0,0.1309,0.126,0.230161,0.437
1,0.1277,0.121,0.230136,0.003
2,0.1255,0.119,0.230111,0.003
3,0.1227,0.116,0.230083,0.003
4,0.1184,0.112,0.230052,0.003
5,0.1164,0.11,0.230022,0.003
6,0.1129,0.107,0.229987,0.003
7,0.1117,0.107,0.229954,0.003
8,0.1097,0.107,0.229914,0.003
9,0.1071,0.103,0.229872,0.003
10,0.1077,0.103,0.229837,0.003
11,0.1079,0.103,0.229797,0.003
12,0.1067,0.102,0.229747,0.003
13,0.1059,0.1,0.229696,0.003
14,0.1044,0.097,0.229636,0.004
15,0.1032,0.096,0.22957,0.003
16,0.1023,0.094,0.2295,0.003
17,0.101,0.093,0.229411,0.003
18,0.1011,0.093,0.229328,0.003
19,0.1012,0.093,0.229228,0.003
20,0.1008,0.089,0.229126,0.003
21,0.1002,0.088,0.229007,0.003
22,0.0998,0.087,0.228868,0.003
23,0.0997,0.086,0.228717,0.003
24,0.0998,0.086,0.228564,0.003
25,0.0998,0.086,0.228376,0.003
26,0.0998,0.086,0.228174,0.003
27,0.0999,0.085,0.227944,0.003
28,0.1,0.086,0.227687,0.003
29,0.1007,0.086,0.227408,0.003
30,0.1019,0.086,0.227096,0.003
31,0.1047,0.089,0.226751,0.003
32,0.1099,0.093,0.226362,0.003
33,0.1192,0.108,0.225935,0.003
34,0.13,0.121,0.225476,0.003
35,0.1387,0.136,0.224907,0.003
36,0.1471,0.152,0.224347,0.003
37,0.1583,0.167,0.223781,0.003
38,0.173,0.186,0.223252,0.003
39,0.1787,0.19,0.222463,0.003
40,0.1887,0.206,0.221825,0.003
41,0.1921,0.21,0.221084,0.003
42,0.1992,0.217,0.220259,0.003
43,0.2041,0.221,0.219511,0.003
44,0.2086,0.218,0.21873,0.003
45,0.2148,0.219,0.218115,0.003
46,0.2187,0.222,0.217323,0.003
47,0.2179,0.22,0.216483,0.003
48,0.2198,0.225,0.215638,0.003
49,0.2201,0.226,0.214837,0.003
50,0.223,0.229,0.214073,0.003
51,0.2239,0.234,0.213325,0.003
52,0.2239,0.235,0.212584,0.003
53,0.2249,0.236,0.211843,0.003
54,0.2285,0.23,0.21105,0.003
55,0.2345,0.233,0.210241,0.003
56,0.2396,0.235,0.209381,0.003
57,0.2447,0.243,0.208479,0.003
58,0.2462,0.247,0.207431,0.003
59,0.251,0.25,0.206314,0.003
60,0.2578,0.258,0.205051,0.003
61,0.2715,0.279,0.20363,0.004
62,0.2798,0.288,0.202082,0.003
63,0.2834,0.289,0.200454,0.003
64,0.2971,0.306,0.198694,0.003
65,0.2983,0.302,0.196897,0.003
66,0.3071,0.313,0.195003,0.003
67,0.3072,0.316,0.193064,0.003
68,0.3131,0.317,0.191096,0.003
69,0.3214,0.332,0.189017,0.003
70,0.3684,0.37,0.18698,0.003
71,0.3952,0.384,0.185148,0.003
72,0.3607,0.36,0.183195,0.003
73,0.3791,0.38,0.18131,0.003
74,0.3747,0.366,0.179634,0.003
75,0.4108,0.406,0.178002,0.003
76,0.4232,0.428,0.176254,0.003
77,0.4217,0.415,0.174751,0.003
78,0.4202,0.425,0.173098,0.003
79,0.4299,0.415,0.171369,0.003
80,0.4059,0.396,0.169937,0.003
81,0.4446,0.437,0.168221,0.003
82,0.4716,0.463,0.166704,0.003
83,0.477,0.475,0.164883,0.003
84,0.4965,0.48,0.16278,0.003
85,0.5345,0.536,0.160735,0.003
86,0.5394,0.54,0.158472,0.003
87,0.5597,0.562,0.156108,0.003
88,0.5467,0.532,0.153667,0.003
89,0.563,0.546,0.151097,0.003
90,0.5742,0.562,0.147346,0.003
91,0.5779,0.555,0.144426,0.003
92,0.5919,0.57,0.140418,0.003
93,0.5977,0.583,0.137115,0.003
94,0.6053,0.595,0.133313,0.003
95,0.6144,0.598,0.12972,0.003
96,0.6186,0.593,0.126382,0.004
97,0.6169,0.596,0.122978,0.004
98,0.618,0.594,0.12015,0.004
99,0.6365,0.614,0.116955,0.003
100,0.6507,0.629,0.113468,0.003
101,0.6572,0.641,0.110588,0.004
102,0.6693,0.631,0.107859,0.003
103,0.676,0.644,0.105236,0.003
104,0.6837,0.657,0.102609,0.003
105,0.6748,0.662,0.101153,0.003
106,0.6861,0.663,0.098231,0.003
107,0.6886,0.669,0.096638,0.004
108,0.7031,0.672,0.094698,0.004
109,0.7142,0.688,0.092955,0.004
110,0.7144,0.69,0.091598,0.004
111,0.7303,0.694,0.089932,0.003
112,0.7227,0.703,0.0886,0.004
113,0.7297,0.698,0.087131,0.003
114,0.7246,0.697,0.0859,0.003
115,0.7389,0.705,0.084481,0.003
116,0.7385,0.704,0.083785,0.003
117,0.7443,0.719,0.083155,0.003
118,0.742,0.722,0.082237,0.003
119,0.7524,0.719,0.080864,0.004
120,0.7555,0.732,0.080144,0.004
121,0.752,0.735,0.079527,0.004
122,0.7526,0.733,0.078578,0.003
123,0.761,0.742,0.077644,0.003
124,0.7605,0.743,0.077068,0.003
125,0.7649,0.733,0.076549,0.003
126,0.764,0.736,0.075974,0.003
127,0.7688,0.742,0.075083,0.003
128,0.7653,0.743,0.074991,0.003
129,0.7674,0.738,0.074578,0.003
130,0.7752,0.745,0.074038,0.003
131,0.7739,0.748,0.073381,0.003
132,0.7771,0.756,0.072617,0.003
133,0.7765,0.752,0.073001,0.003
134,0.7754,0.751,0.072014,0.003
135,0.7807,0.754,0.071451,0.003
136,0.78,0.751,0.071446,0.003
137,0.7824,0.751,0.071069,0.003
138,0.7779,0.754,0.070717,0.003
139,0.778,0.77,0.070364,0.003
