epoch,train_acc,test_acc,train_loss,epoch_time_s
0,0.2536,0.253,0.218422,0.336
1,0.434,0.41,0.196721,0.003
2,0.5651,0.551,0.167136,0.003
3,0.6257,0.592,0.137352,0.003
4,0.6857,0.698,0.114681,0.003
5,0.7602,0.749,0.097312,0.003
6,0.7906,0.789,0.08552,0.003
7,0.7781,0.78,0.077491,0.003
8,0.8022,0.814,0.071815,0.003
9,0.8139,0.807,0.066378,0.004
10,0.8242,0.815,0.062841,0.003
11,0.8334,0.829,0.060015,0.003
12,0.8377,0.823,0.05695,0.003
13,0.8454,0.839,0.054587,0.003
14,0.8387,0.843,0.054688,0.003
15,0.8546,0.851,0.05085,0.003
16,0.8467,0.837,0.051117,0.003
17,0.8533,0.85,0.049303,0.003
18,0.8581,0.849,0.048167,0.003
19,0.8662,0.856,0.046623,0.003
20,0.8622,0.86,0.046353,0.003
21,0.8725,0.867,0.044374,0.003
22,0.8683,0.87,0.044945,0.003
23,0.8735,0.863,0.043401,0.003
24,0.8762,0.877,0.042951,0.003
25,0.8775,0.875,0.042365,0.003
26,0.8726,0.868,0.04325,0.003
27,0.868,0.856,0.043071,0.003
28,0.8831,0.873,0.040889,0.003
29,0.881,0.86,0.041177,0.003
30,0.8736,0.87,0.042458,0.003
31,0.8788,0.867,0.040315,0.003
32,0.8825,0.873,0.039787,0.003
33,0.886,0.872,0.038974,0.003
34,0.8845,0.866,0.039759,0.003
35,0.8788,0.858,0.040273,0.003
36,0.8844,0.873,0.038652,0.003
37,0.8875,0.872,0.038244,0.003
38,0.8781,0.871,0.040526,0.003
39,0.8869,0.88,0.038722,0.003
40,0.893,0.884,0.037599,0.003
41,0.8916,0.88,0.037387,0.003
42,0.8889,0.876,0.037224,0.003
43,0.8922,0.876,0.036977,0.003
44,0.8912,0.881,0.036916,0.003
45,0.8925,0.877,0.037257,0.003
46,0.8906,0.873,0.03678,0.003
47,0.8945,0.876,0.036595,0.003
48,0.8928,0.872,0.036311,0.003
49,0.8871,0.878,0.037311,0.003
50,0.8955,0.883,0.035616,0.003
51,0.895,0.88,0.036028,0.003
52,0.8898,0.885,0.036789,0.003
53,0.8946,0.873,0.036021,0.003
54,0.8983,0.886,0.035247,0.003
55,0.8971,0.882,0.035446,0.003
56,0.8967,0.881,0.035272,0.003
57,0.8969,0.882,0.034635,0.003
58,0.8976,0.885,0.034668,0.003
59,0.8996,0.881,0.034544,0.003
60,0.8986,0.888,0.034468,0.003
61,0.901,0.889,0.034452,0.003
62,0.8998,0.885,0.034193,0.003
63,0.9026,0.889,0.03389,0.003
64,0.8998,0.886,0.033907,0.003
65,0.9005,0.881,0.034176,0.003
66,0.9048,0.888,0.033275,0.003
67,0.8989,0.893,0.033966,0.003
68,0.9023,0.881,0.033874,0.003
69,0.9055,0.889,0.032838,0.003
70,0.9058,0.896,0.032701,0.003
71,0.9035,0.887,0.032792,0.003
72,0.904,0.888,0.032767,0.003
73,0.9027,0.889,0.03293,0.003
74,0.9044,0.888,0.033059,0.003
75,0.9033,0.882,0.033095,0.003
76,0.9046,0.886,0.032932,0.003
77,0.905,0.894,0.03269,0.003
78,0.9068,0.887,0.032129,0.003
79,0.9096,0.893,0.032094,0.003
80,0.91,0.898,0.031801,0.003
81,0.9117,0.895,0.031576,0.003
82,0.9084,0.89,0.031752,0.003
83,0.9077,0.889,0.032103,0.003
84,0.9096,0.894,0.031289,0.003
85,0.9083,0.892,0.031524,0.003
86,0.9077,0.9,0.031439,0.003
87,0.9044,0.895,0.032035,0.003
88,0.9106,0.89,0.031142,0.003
89,0.9066,0.892,0.031816,0.003
90,0.9067,0.895,0.031655,0.003
91,0.912,0.894,0.030747,0.003
92,0.9107,0.891,0.031298,0.003
93,0.911,0.897,0.030873,0.003
94,0.907,0.898,0.031973,0.003
95,0.9129,0.895,0.030493,0.003
96,0.9141,0.902,0.030287,0.003
97,0.9125,0.902,0.030524,0.003
98,0.9159,0.899,0.029992,0.003
99,0.9096,0.898,0.030775,0.003
100,0.9105,0.9,0.030445,0.003
101,0.9107,0.893,0.030645,0.003
102,0.9101,0.902,0.030613,0.003
103,0.9121,0.892,0.030397,0.003
104,0.9105,0.893,0.030371,0.003
105,0.9132,0.9,0.030318,0.003
106,0.9098,0.894,0.030385,0.003
107,0.9145,0.894,0.029554,0.003
108,0.9133,0.896,0.029929,0.003
109,0.9114,0.894,0.030412,0.003
110,0.9163,0.906,0.029137,0.003
111,0.9156,0.897,0.029455,0.003
112,0.9157,0.892,0.029391,0.003
113,0.9143,0.894,0.029665,0.003
