epoch,train_acc,test_acc,train_loss,epoch_time_s
0,0.0834,0.087,0.230269,0.469
1,0.0829,0.089,0.230265,0.004
2,0.0847,0.089,0.230261,0.003
3,0.0853,0.09,0.230257,0.004
4,0.0863,0.091,0.230253,0.003
5,0.0875,0.092,0.230249,0.003
6,0.0885,0.094,0.230245,0.004
7,0.0885,0.093,0.230241,0.004
8,0.0893,0.093,0.230237,0.003
9,0.0898,0.094,0.230233,0.004
10,0.0898,0.096,0.230228,0.004
11,0.091,0.098,0.230224,0.003
12,0.0923,0.097,0.230219,0.003
13,0.0936,0.097,0.230214,0.003
14,0.0947,0.097,0.23021,0.003
15,0.0957,0.098,0.230205,0.003
16,0.096,0.098,0.2302,0.003
17,0.0971,0.1,0.230195,0.004
18,0.0975,0.101,0.23019,0.003
19,0.0988,0.099,0.230185,0.003
20,0.0996,0.099,0.230179,0.003
21,0.1001,0.102,0.230174,0.003
22,0.102,0.102,0.230168,0.003
23,0.1016,0.101,0.230161,0.003
24,0.1024,0.104,0.230155,0.003
25,0.1021,0.103,0.230148,0.003
26,0.1032,0.105,0.230141,0.004
27,0.1038,0.104,0.230133,0.003
28,0.1047,0.106,0.230126,0.003
29,0.1053,0.105,0.230118,0.003
30,0.1058,0.104,0.230109,0.003
31,0.1072,0.106,0.2301,0.004
32,0.1088,0.108,0.23009,0.003
33,0.1105,0.107,0.230081,0.003
34,0.1121,0.11,0.230069,0.003
35,0.1145,0.11,0.230058,0.003
36,0.1161,0.109,0.230046,0.003
37,0.1176,0.11,0.230032,0.003
38,0.1209,0.11,0.230017,0.005
39,0.1234,0.111,0.230003,0.003
40,0.1266,0.11,0.229987,0.003
41,0.1312,0.112,0.22997,0.003
42,0.1334,0.117,0.229952,0.003
43,0.1394,0.12,0.229933,0.003
44,0.1461,0.124,0.229911,0.003
45,0.1476,0.128,0.229888,0.003
46,0.1489,0.128,0.229866,0.003
47,0.1512,0.133,0.229837,0.003
48,0.1503,0.132,0.229809,0.003
49,0.1535,0.13,0.229777,0.003
50,0.1502,0.123,0.229744,0.004
51,0.1538,0.13,0.22971,0.003
52,0.1544,0.131,0.22967,0.003
53,0.1576,0.135,0.22963,0.003
54,0.1595,0.135,0.229582,0.003
55,0.1586,0.137,0.229531,0.003
56,0.1565,0.133,0.229474,0.004
57,0.1592,0.13,0.229417,0.003
58,0.1493,0.126,0.229346,0.004
59,0.1411,0.123,0.229275,0.003
60,0.1328,0.113,0.229185,0.003
61,0.1328,0.11,0.229099,0.003
62,0.1321,0.108,0.229005,0.003
63,0.1293,0.107,0.228888,0.003
64,0.1304,0.107,0.228785,0.003
65,0.1297,0.106,0.228659,0.003
66,0.1283,0.105,0.2285,0.003
67,0.1271,0.105,0.228338,0.003
68,0.126,0.104,0.228156,0.003
69,0.1255,0.105,0.227939,0.003
70,0.1272,0.106,0.227732,0.004
71,0.1275,0.107,0.227462,0.004
72,0.1281,0.108,0.227156,0.003
73,0.1304,0.109,0.226832,0.003
74,0.1309,0.109,0.226438,0.004
75,0.1319,0.111,0.226032,0.003
76,0.132,0.113,0.225545,0.003
77,0.1344,0.114,0.225008,0.003
78,0.1347,0.113,0.224392,0.003
79,0.1394,0.12,0.223756,0.004
80,0.1411,0.122,0.222979,0.004
81,0.1451,0.126,0.222247,0.003
82,0.1478,0.133,0.221354,0.003
83,0.1505,0.14,0.22049,0.003
84,0.1556,0.146,0.219611,0.003
85,0.1603,0.149,0.21875,0.003
86,0.1665,0.15,0.217727,0.004
87,0.1686,0.151,0.216697,0.003
88,0.1724,0.153,0.215655,0.003
89,0.1769,0.16,0.214548,0.003
90,0.1801,0.165,0.213527,0.003
91,0.1837,0.171,0.212415,0.003
92,0.1876,0.174,0.211333,0.003
93,0.1896,0.176,0.210118,0.003
94,0.1918,0.176,0.208839,0.003
95,0.194,0.177,0.20741,0.003
96,0.1956,0.178,0.205965,0.003
97,0.1977,0.179,0.204413,0.003
98,0.1988,0.18,0.202733,0.003
99,0.2,0.18,0.200814,0.003
100,0.2011,0.18,0.19875,0.005
101,0.2021,0.18,0.196721,0.003
102,0.2035,0.183,0.194523,0.003
103,0.2044,0.184,0.192289,0.004
104,0.2102,0.189,0.190151,0.004
105,0.218,0.197,0.187885,0.004
106,0.2251,0.204,0.185683,0.004
107,0.2331,0.206,0.183768,0.003
108,0.2535,0.226,0.181747,0.003
109,0.2531,0.225,0.179859,0.003
110,0.2766,0.248,0.177801,0.003
111,0.327,0.29,0.175842,0.003
112,0.324,0.293,0.173792,0.003
113,0.3432,0.313,0.171881,0.003
114,0.3592,0.327,0.169833,0.003
115,0.3827,0.335,0.167545,0.003
116,0.3986,0.346,0.16539,0.003
117,0.4141,0.364,0.163011,0.004
118,0.4207,0.378,0.160467,0.003
119,0.4385,0.388,0.157941,0.004
120,0.4409,0.388,0.155304,0.003
121,0.4429,0.402,0.152645,0.003
122,0.4586,0.427,0.149878,0.003
123,0.4726,0.437,0.147057,0.003
124,0.4984,0.454,0.144397,0.003
125,0.4903,0.44,0.141369,0.004
126,0.5004,0.454,0.138935,0.003
127,0.5151,0.467,0.136191,0.003
128,0.5279,0.481,0.133545,0.003
129,0.5243,0.487,0.131131,0.004
130,0.5382,0.488,0.128677,0.005
131,0.5357,0.49,0.126491,0.004
132,0.5571,0.519,0.124535,0.004
133,0.5554,0.514,0.122338,0.003
134,0.6297,0.609,0.119815,0.004
135,0.6366,0.615,0.117858,0.003
136,0.6539,0.636,0.115449,0.003
137,0.661,0.638,0.113576,0.003
138,0.6707,0.636,0.111703,0.003
139,0.686,0.678,0.109354,0.005
140,0.6789,0.671,0.107686,0.003
141,0.7027,0.687,0.105206,0.004
142,0.6998,0.686,0.103325,0.003
143,0.709,0.704,0.101028,0.003
144,0.7221,0.717,0.098528,0.003
145,0.7169,0.7,0.096774,0.003
146,0.7304,0.738,0.094398,0.003
147,0.7291,0.727,0.092394,0.004
148,0.7425,0.745,0.09015,0.003
149,0.7368,0.737,0.088591,0.005
150,0.7496,0.754,0.086617,0.004
151,0.7473,0.754,0.08494,0.004
152,0.7557,0.739,0.083572,0.004
153,0.7641,0.773,0.081776,0.003
154,0.7651,0.755,0.080417,0.004
155,0.7628,0.764,0.079651,0.004
156,0.7618,0.763,0.078533,0.003
157,0.7692,0.772,0.077534,0.003
158,0.7743,0.778,0.076364,0.003
159,0.7738,0.783,0.075295,0.003
160,0.7772,0.783,0.074329,0.003
161,0.7822,0.779,0.074545,0.004
162,0.7761,0.781,0.073082,0.004
163,0.7835,0.791,0.072593,0.004
164,0.7849,0.782,0.072403,0.003
165,0.7819,0.791,0.072139,0.003
166,0.7907,0.788,0.070816,0.003
167,0.7871,0.787,0.070629,0.003
168,0.7843,0.792,0.070561,0.005
169,0.7889,0.793,0.069508,0.003
170,0.7915,0.775,0.069462,0.003
171,0.7878,0.788,0.069142,0.003
172,0.7924,0.794,0.068503,0.003
173,0.7931,0.795,0.068282,0.003
174,0.7958,0.802,0.067833,0.003
175,0.7948,0.803,0.067456,0.003
176,0.7931,0.807,0.067272,0.003
177,0.8011,0.799,0.066463,0.003
178,0.7998,0.79,0.066511,0.003
179,0.7962,0.794,0.066691,0.003
180,0.8025,0.799,0.065783,0.003
181,0.8017,0.802,0.066195,0.003
182,0.8025,0.809,0.065524,0.003
183,0.7994,0.798,0.066017,0.004
184,0.8032,0.804,0.064923,0.003
185,0.8028,0.813,0.064697,0.003
186,0.804,0.802,0.064772,0.003
187,0.8012,0.809,0.064762,0.003
188,0.8071,0.805,0.06452,0.003
189,0.8109,0.811,0.06413,0.003
190,0.8096,0.807,0.063754,0.003
191,0.8114,0.812,0.063318,0.004
192,0.8101,0.81,0.06331,0.003
193,0.8094,0.812,0.063356,0.003
194,0.8132,0.804,0.063469,0.003
195,0.8138,0.812,0.063071,0.003
196,0.8164,0.81,0.062718,0.004
197,0.8122,0.8,0.063057,0.004
198,0.8139,0.822,0.062518,0.004
199,0.8121,0.812,0.062429,0.003
200,0.8116,0.803,0.062652,0.003
201,0.8127,0.815,0.062115,0.004
