step,NZ,total_W,sparsity,val_acc,d_manifold,d_W,prune_time_s,adjust_time_s,candidate_layer,candidate_i,candidate_j,layer_0_NZ,layer_1_NZ
0,2060,2060,0.0,0.913,0.000000e+00,2.692767e-05,0.8368,3.7964,0,8,126,1959,100
1,2059,2060,0.000485,0.913,1.217216e-03,2.863542e-05,0.2475,3.0191,0,3,176,1958,100
2,2058,2060,0.000971,0.913,3.883552e-03,4.730182e-04,0.2531,2.9979,0,9,42,1957,100
3,2057,2060,0.001456,0.913,1.039509e-02,4.495722e-04,0.2455,2.9844,0,9,141,1956,100
4,2056,2060,0.001942,0.913,1.231299e-02,6.507975e-04,0.2534,2.9858,0,9,99,1955,100
5,2055,2060,0.002427,0.913,2.206540e-02,4.665333e-05,0.254,3.0022,0,0,53,1954,100
6,2054,2060,0.002913,0.913,2.361833e-02,7.928774e-05,0.245,2.9908,0,8,185,1953,100
7,2053,2060,0.003398,0.913,3.285202e-02,9.011741e-04,0.2523,2.9954,0,9,189,1952,100
8,2052,2060,0.003883,0.913,5.795344e-02,9.903705e-05,0.2533,3.014,0,8,4,1951,100
9,2051,2060,0.004369,0.913,6.698746e-02,1.105172e-04,0.2498,3.0013,0,8,157,1950,100
10,2050,2060,0.004854,0.913,8.561873e-02,7.941314e-05,0.2479,3.0028,0,3,150,1949,100
11,2049,2060,0.00534,0.913,1.038079e-01,8.274900e-05,0.2584,2.995,0,3,85,1948,100
12,2048,2060,0.005825,0.913,1.225303e-01,8.511399e-05,0.2545,2.9939,0,2,139,1947,100
13,2047,2060,0.006311,0.913,1.387707e-01,1.428792e-03,0.2456,2.9962,0,9,15,1946,100
14,2046,2060,0.006796,0.913,1.861809e-01,1.330385e-03,0.2617,2.9967,0,9,179,1945,100
15,2045,2060,0.007282,0.913,2.141271e-01,1.333386e-03,0.2489,2.9976,0,9,94,1944,100
16,2044,2060,0.007767,0.913,2.313990e-01,9.569894e-05,0.243,3.0094,0,2,194,1943,100
17,2043,2060,0.008252,0.913,2.473126e-01,1.553543e-04,0.2411,3.0017,0,7,28,1942,100
18,2042,2060,0.008738,0.913,2.740034e-01,9.625150e-05,0.2563,3.0013,0,0,160,1941,100
19,2041,2060,0.009223,0.913,2.856411e-01,1.616111e-04,0.2494,2.9884,0,8,114,1940,100
20,2040,2060,0.009709,0.913,3.215103e-01,1.676303e-03,0.2412,2.9953,0,9,70,1939,100
21,2039,2060,0.010194,0.913,4.166596e-01,1.703420e-03,0.2479,2.9989,0,9,184,1938,100
22,2038,2060,0.01068,0.913,4.346635e-01,1.710318e-03,0.2397,2.989,0,9,92,1937,100
23,2037,2060,0.011165,0.913,4.796845e-01,1.803458e-03,0.2482,2.9971,0,9,80,1936,100
24,2036,2060,0.01165,0.913,5.392052e-01,1.647057e-03,0.2544,2.9903,0,9,112,1935,100
25,2035,2060,0.012136,0.913,5.522476e-01,2.124056e-03,0.246,3.0009,0,9,170,1934,100
26,2034,2060,0.012621,0.913,5.825640e-01,2.138879e-03,0.2416,3.003,0,9,190,1933,100
27,2033,2060,0.013107,0.913,7.028240e-01,2.202718e-03,0.2425,3.0145,0,9,109,1932,100
28,2032,2060,0.013592,0.913,7.226398e-01,2.368346e-03,0.2469,3.0076,0,9,12,1931,100
29,2031,2060,0.014078,0.913,8.642053e-01,2.226946e-03,0.2511,3.0143,0,9,40,1930,100
30,2030,2060,0.014563,0.913,9.626740e-01,1.341427e-04,0.2481,3.0108,0,0,63,1929,100
31,2029,2060,0.015049,0.913,9.718140e-01,1.480454e-04,0.2424,3.004,0,2,127,1928,100
32,2028,2060,0.015534,0.913,1.015402e+00,1.775198e-03,0.2437,2.9847,0,9,26,1927,100
33,2027,2060,0.016019,0.913,1.245687e+00,2.823345e-03,0.2422,3.0094,0,9,1,1926,100
34,2026,2060,0.016505,0.913,1.428309e+00,2.425831e-03,0.2449,3.011,0,9,78,1925,100
35,2025,2060,0.01699,0.913,1.436221e+00,1.588574e-04,0.2418,2.9962,0,3,4,1924,100
36,2024,2060,0.017476,0.913,1.475242e+00,2.469405e-03,0.2434,3.0007,0,9,130,1923,100
37,2023,2060,0.017961,0.912,1.737052e+00,2.887846e-03,0.2424,3.0066,0,9,46,1922,100
38,2022,2060,0.018447,0.912,1.780243e+00,2.744656e-03,0.2508,3.009,0,9,27,1921,100
39,2021,2060,0.018932,0.912,1.828024e+00,3.209825e-03,0.242,3.0092,0,9,128,1920,100
40,2020,2060,0.019417,0.912,1.816080e+00,3.714954e-03,0.2392,3.004,0,9,2,1919,100
41,2019,2060,0.019903,0.912,1.743832e+00,3.844552e-03,0.2454,3.0012,0,9,34,1918,100
42,2018,2060,0.020388,0.912,1.874315e+00,2.762575e-03,0.2403,2.9944,0,9,140,1917,100
43,2017,2060,0.020874,0.912,2.033963e+00,1.775507e-04,0.2442,3.0062,0,1,146,1916,100
