epoch,train_acc,test_acc,train_loss,epoch_time_s
159,0.7661,0.742,0.082206,0.003
160,0.7646,0.746,0.081782,0.003
161,0.7647,0.744,0.081307,0.004
162,0.7635,0.743,0.0809,0.004
163,0.768,0.748,0.080466,0.004
164,0.7713,0.747,0.080107,0.004
165,0.7707,0.746,0.079642,0.004
166,0.772,0.756,0.079252,0.004
167,0.7713,0.751,0.078923,0.003
168,0.7653,0.748,0.078658,0.004
169,0.7746,0.757,0.078173,0.006
170,0.7768,0.757,0.077675,0.008
171,0.7769,0.757,0.077318,0.006
172,0.7781,0.761,0.076965,0.008
173,0.778,0.759,0.076482,0.007
174,0.7756,0.761,0.076168,0.009
175,0.7813,0.753,0.075886,0.007
176,0.7814,0.759,0.075425,0.008
177,0.7841,0.764,0.075042,0.007
178,0.7841,0.761,0.074772,0.01
179,0.7811,0.766,0.074314,0.008
180,0.7857,0.766,0.073971,0.009
181,0.7864,0.765,0.073683,0.007
182,0.7855,0.769,0.073282,0.006
183,0.7874,0.769,0.073,0.007
184,0.7867,0.769,0.072793,0.009
185,0.7891,0.764,0.072528,0.008
186,0.7889,0.77,0.072023,0.006
187,0.7869,0.776,0.071806,0.008
188,0.7919,0.774,0.071453,0.007
189,0.7935,0.769,0.071284,0.006
190,0.7938,0.776,0.070973,0.007
191,0.7942,0.776,0.070571,0.009
192,0.7948,0.774,0.0703,0.007
193,0.7962,0.777,0.070003,0.007
194,0.7954,0.775,0.069809,0.008
195,0.7997,0.777,0.069455,0.007
196,0.7986,0.778,0.069072,0.006
197,0.8007,0.781,0.068821,0.006
198,0.8011,0.776,0.068681,0.006
199,0.8015,0.777,0.068287,0.006
200,0.7997,0.776,0.067989,0.007
201,0.8043,0.777,0.067893,0.006
202,0.8043,0.776,0.06758,0.006
203,0.8028,0.776,0.067338,0.007
204,0.8017,0.779,0.067097,0.007
205,0.8042,0.785,0.066878,0.007
206,0.8058,0.784,0.066429,0.006
207,0.8027,0.783,0.066385,0.007
208,0.8084,0.784,0.065931,0.008
209,0.8077,0.785,0.065698,0.007
210,0.8071,0.789,0.065589,0.006
211,0.8051,0.788,0.065839,0.005
212,0.8091,0.788,0.065042,0.009
213,0.808,0.788,0.065051,0.007
214,0.8092,0.788,0.064598,0.007
215,0.8101,0.793,0.064384,0.007
216,0.8128,0.792,0.064079,0.008
217,0.8123,0.792,0.063928,0.008
218,0.8122,0.79,0.063585,0.006
219,0.812,0.795,0.063395,0.006
220,0.815,0.786,0.063261,0.007
221,0.8162,0.8,0.062912,0.004
222,0.817,0.8,0.062721,0.006
223,0.818,0.798,0.062674,0.008
224,0.8156,0.792,0.062702,0.006
225,0.8179,0.792,0.062229,0.007
226,0.8184,0.795,0.061801,0.007
227,0.8172,0.798,0.06165,0.008
228,0.8208,0.803,0.061453,0.007
229,0.8207,0.801,0.061193,0.006
230,0.82,0.798,0.061135,0.009
231,0.8228,0.801,0.060799,0.007
232,0.8245,0.808,0.060598,0.008
233,0.8246,0.808,0.060512,0.006
234,0.8248,0.802,0.060216,0.007
235,0.8262,0.802,0.060075,0.007
236,0.8255,0.802,0.059887,0.007
237,0.8277,0.811,0.059635,0.009
238,0.8269,0.807,0.059461,0.009
239,0.8257,0.798,0.05943,0.009
240,0.8277,0.807,0.05911,0.006
241,0.8271,0.804,0.058905,0.005
242,0.8259,0.808,0.058785,0.007
243,0.8279,0.8,0.058803,0.006
244,0.8306,0.799,0.05834,0.008
245,0.8283,0.805,0.058243,0.007
246,0.829,0.804,0.058028,0.006
247,0.8284,0.809,0.058139,0.007
248,0.8313,0.812,0.057576,0.007
249,0.8318,0.809,0.05747,0.007
250,0.8339,0.81,0.057295,0.006
