epoch,train_acc,test_acc,train_loss,epoch_time_s
0,0.1679,0.169,0.228624,0.426
1,0.2133,0.229,0.226015,0.004
2,0.2782,0.275,0.223185,0.003
3,0.3424,0.337,0.220308,0.003
4,0.3778,0.362,0.217024,0.003
5,0.4117,0.41,0.213349,0.003
6,0.4619,0.454,0.20905,0.003
7,0.4978,0.495,0.204029,0.003
8,0.5635,0.548,0.19843,0.003
9,0.5916,0.585,0.192079,0.003
10,0.6074,0.604,0.184687,0.003
11,0.638,0.622,0.176589,0.003
12,0.6288,0.629,0.167959,0.003
13,0.6896,0.684,0.158792,0.003
14,0.7188,0.725,0.148912,0.003
15,0.7431,0.741,0.139512,0.003
16,0.748,0.748,0.130424,0.003
17,0.7469,0.737,0.121997,0.003
18,0.7679,0.754,0.114183,0.003
19,0.794,0.78,0.107191,0.003
20,0.7846,0.768,0.100795,0.004
21,0.791,0.785,0.095253,0.003
22,0.8015,0.792,0.090821,0.003
23,0.8082,0.794,0.08592,0.003
24,0.8114,0.79,0.082126,0.003
25,0.8169,0.798,0.078622,0.003
26,0.8205,0.804,0.075683,0.003
27,0.823,0.811,0.073133,0.003
28,0.8262,0.811,0.070745,0.003
29,0.8287,0.806,0.068798,0.003
30,0.8315,0.82,0.066454,0.003
31,0.8344,0.821,0.064549,0.003
32,0.8389,0.826,0.062518,0.003
33,0.8438,0.83,0.061095,0.003
34,0.8457,0.834,0.059653,0.003
35,0.8482,0.824,0.058386,0.004
36,0.8508,0.829,0.057095,0.003
37,0.8537,0.832,0.055875,0.003
38,0.852,0.84,0.054992,0.003
39,0.854,0.843,0.054023,0.003
40,0.8584,0.845,0.052822,0.003
41,0.857,0.846,0.052738,0.003
42,0.8633,0.844,0.051014,0.003
43,0.8608,0.845,0.050689,0.003
44,0.8634,0.85,0.050002,0.003
45,0.8662,0.857,0.049044,0.003
46,0.8674,0.86,0.048671,0.003
47,0.869,0.851,0.047815,0.003
48,0.8705,0.855,0.047178,0.003
49,0.8715,0.861,0.046561,0.004
50,0.8746,0.863,0.045843,0.003
51,0.873,0.858,0.045481,0.003
52,0.872,0.873,0.04537,0.003
53,0.8749,0.873,0.044876,0.003
54,0.8755,0.867,0.044469,0.003
55,0.8784,0.871,0.043581,0.003
56,0.8759,0.863,0.043796,0.003
57,0.8813,0.865,0.043052,0.003
58,0.8826,0.869,0.042422,0.003
59,0.883,0.868,0.042089,0.003
