step,NZ,total_W,sparsity,val_acc,d_manifold,d_W,prune_time_s,adjust_time_s,candidate_layer,candidate_i,candidate_j,layer_0_NZ,layer_1_NZ,layer_2_NZ,layer_3_NZ
0,2260,2260,0.0,0.126,0.000000e+00,1.770704e-03,0.8305,0.8616,1,0,7,1960,99,100,100
1,2259,2260,0.000442,0.126,0.000000e+00,1.748139e-02,0.2353,0.0965,2,0,0,1960,99,99,100
2,2258,2260,0.000885,0.126,0.000000e+00,4.553485e-03,0.2354,0.0891,2,0,1,1960,99,98,100
3,2257,2260,0.001327,0.126,0.000000e+00,1.121062e-02,0.2448,0.0868,2,0,2,1960,99,97,100
4,2256,2260,0.00177,0.126,0.000000e+00,4.129500e-03,0.2424,0.0923,2,0,3,1960,99,96,100
5,2255,2260,0.002212,0.126,0.000000e+00,8.883751e-03,0.2452,0.0922,2,0,4,1960,99,95,100
6,2254,2260,0.002655,0.126,0.000000e+00,2.145243e-03,0.2482,0.092,2,0,5,1960,99,94,100
7,2253,2260,0.003097,0.126,0.000000e+00,1.219223e-02,0.2457,0.0938,2,0,6,1960,99,93,100
8,2252,2260,0.00354,0.126,0.000000e+00,1.882803e-03,0.2497,0.0908,2,0,7,1960,99,92,100
9,2251,2260,0.003982,0.126,0.000000e+00,1.293125e-02,0.2513,0.0917,2,0,8,1960,99,91,100
10,2250,2260,0.004425,0.126,0.000000e+00,6.271818e-03,0.2389,0.0912,2,0,9,1960,99,90,100
11,2249,2260,0.004867,0.126,0.000000e+00,5.285676e-03,0.2416,0.0908,2,1,0,1960,99,89,100
12,2248,2260,0.00531,0.126,0.000000e+00,1.967937e-04,0.2382,0.0898,2,1,1,1960,99,88,100
13,2247,2260,0.005752,0.126,0.000000e+00,1.910343e-03,0.2367,0.0903,2,1,2,1960,99,87,100
14,2246,2260,0.006195,0.126,0.000000e+00,8.563434e-04,0.2403,0.0919,2,1,3,1960,99,86,100
15,2245,2260,0.006637,0.126,0.000000e+00,7.483863e-03,0.2316,0.0892,2,1,4,1960,99,85,100
16,2244,2260,0.00708,0.126,0.000000e+00,6.792191e-03,0.2369,0.0926,2,1,5,1960,99,84,100
17,2243,2260,0.007522,0.126,0.000000e+00,4.463835e-03,0.2423,0.0927,2,1,6,1960,99,83,100
18,2242,2260,0.007965,0.126,0.000000e+00,9.138173e-03,0.2448,0.0905,2,1,7,1960,99,82,100
19,2241,2260,0.008407,0.126,0.000000e+00,3.513010e-03,0.2479,0.0906,2,1,8,1960,99,81,100
20,2240,2260,0.00885,0.126,0.000000e+00,2.481192e-03,0.2414,0.0906,2,1,9,1960,99,80,100
21,2239,2260,0.009292,0.126,0.000000e+00,1.553905e-03,0.2359,0.0885,2,3,6,1960,99,79,100
22,2238,2260,0.009735,0.126,0.000000e+00,1.272206e-02,0.2465,0.0913,2,4,0,1960,99,78,100
23,2237,2260,0.010177,0.126,0.000000e+00,4.580586e-03,0.2381,0.0901,2,4,1,1960,99,77,100
24,2236,2260,0.010619,0.126,0.000000e+00,1.490457e-02,0.2435,0.0907,2,4,2,1960,99,76,100
25,2235,2260,0.011062,0.126,0.000000e+00,1.944814e-02,0.2454,0.0893,2,4,3,1960,99,75,100
26,2234,2260,0.011504,0.126,0.000000e+00,2.045859e-03,0.2413,0.0881,2,4,4,1960,99,74,100
27,2233,2260,0.011947,0.126,0.000000e+00,2.811278e-03,0.2335,0.0897,2,4,5,1960,99,73,100
28,2232,2260,0.012389,0.126,0.000000e+00,7.526582e-03,0.2347,0.0918,2,4,6,1960,99,72,100
29,2231,2260,0.012832,0.126,0.000000e+00,4.646187e-04,0.2273,0.0907,2,4,7,1960,99,71,100
30,2230,2260,0.013274,0.126,0.000000e+00,1.407150e-02,0.2361,0.0894,2,4,8,1960,99,70,100
31,2229,2260,0.013717,0.126,0.000000e+00,3.654005e-03,0.2398,0.0889,2,4,9,1960,99,69,100
32,2228,2260,0.014159,0.126,0.000000e+00,1.933326e-02,0.2482,0.0932,3,0,0,1960,99,69,99
33,2227,2260,0.014602,0.126,0.000000e+00,8.849110e-04,0.2376,0.091,3,0,1,1960,99,69,98
34,2226,2260,0.015044,0.126,0.000000e+00,2.029244e-02,0.2347,0.0891,3,0,4,1960,99,69,97
35,2225,2260,0.015487,0.126,0.000000e+00,3.700988e-03,0.2388,0.091,3,1,0,1960,99,69,96
36,2224,2260,0.015929,0.126,0.000000e+00,1.230477e-02,0.2346,0.0945,3,1,1,1960,99,69,95
