epoch,train_acc,test_acc,train_loss,epoch_time_s
0,0.2188,0.218,0.224312,0.342
1,0.3619,0.373,0.211626,0.003
2,0.4577,0.476,0.192717,0.003
3,0.5514,0.53,0.166755,0.003
4,0.5991,0.591,0.140443,0.003
5,0.6553,0.658,0.119303,0.003
6,0.691,0.69,0.104374,0.003
7,0.7186,0.716,0.092906,0.003
8,0.7557,0.742,0.083262,0.003
9,0.7647,0.751,0.07717,0.003
10,0.7787,0.769,0.073334,0.003
11,0.7928,0.771,0.068707,0.003
12,0.8063,0.787,0.064745,0.003
13,0.8122,0.797,0.063145,0.003
14,0.8196,0.804,0.060024,0.003
15,0.8145,0.802,0.058633,0.003
16,0.8333,0.816,0.055718,0.003
17,0.8382,0.821,0.054541,0.003
18,0.8381,0.82,0.053723,0.003
19,0.8473,0.835,0.051804,0.003
20,0.8495,0.835,0.050551,0.003
21,0.8476,0.83,0.05006,0.003
22,0.8476,0.836,0.049587,0.003
23,0.8585,0.844,0.047598,0.003
24,0.8609,0.842,0.046904,0.003
25,0.8578,0.837,0.04694,0.003
26,0.8674,0.853,0.045826,0.003
27,0.8622,0.837,0.04592,0.003
28,0.8653,0.849,0.045023,0.003
29,0.8728,0.861,0.044061,0.003
30,0.8735,0.856,0.043452,0.003
31,0.8761,0.855,0.043159,0.003
32,0.8768,0.857,0.042584,0.003
33,0.8763,0.862,0.041849,0.003
34,0.8771,0.861,0.041412,0.003
35,0.8771,0.861,0.041695,0.003
36,0.881,0.867,0.040863,0.003
37,0.8754,0.863,0.042006,0.003
38,0.8795,0.864,0.040605,0.003
39,0.882,0.864,0.040385,0.003
40,0.8781,0.861,0.040684,0.003
41,0.8832,0.872,0.040039,0.003
42,0.8857,0.878,0.039353,0.003
43,0.8842,0.873,0.03925,0.003
44,0.8859,0.861,0.039639,0.004
45,0.8784,0.861,0.04062,0.003
46,0.8789,0.863,0.040251,0.003
47,0.8854,0.873,0.038574,0.003
48,0.8848,0.872,0.03817,0.003
49,0.8886,0.878,0.037798,0.003
50,0.8891,0.885,0.038031,0.003
51,0.8893,0.875,0.03783,0.003
52,0.8898,0.881,0.037317,0.004
53,0.8891,0.872,0.037544,0.003
54,0.8904,0.888,0.036911,0.003
55,0.8857,0.879,0.037813,0.003
56,0.8913,0.884,0.037247,0.003
57,0.8944,0.893,0.036065,0.003
58,0.892,0.882,0.036352,0.003
59,0.8911,0.885,0.036388,0.003
60,0.8899,0.887,0.036976,0.003
61,0.8942,0.892,0.035786,0.003
62,0.8915,0.889,0.036043,0.003
63,0.8947,0.892,0.035594,0.003
64,0.8985,0.889,0.035254,0.003
65,0.8957,0.891,0.035455,0.003
66,0.8961,0.892,0.035282,0.003
67,0.8976,0.899,0.035275,0.003
68,0.8971,0.897,0.035215,0.003
69,0.8964,0.894,0.035222,0.003
70,0.8965,0.896,0.034916,0.003
71,0.8987,0.896,0.034598,0.003
72,0.9006,0.894,0.034648,0.003
73,0.8989,0.896,0.03452,0.003
74,0.9006,0.895,0.034809,0.003
75,0.8981,0.883,0.034532,0.003
76,0.8959,0.887,0.034878,0.003
77,0.8976,0.896,0.034341,0.003
78,0.8952,0.896,0.035071,0.003
79,0.8988,0.896,0.033972,0.003
80,0.8989,0.894,0.034193,0.003
81,0.8998,0.892,0.034366,0.003
82,0.8983,0.895,0.033957,0.003
83,0.9029,0.899,0.033378,0.003
84,0.9035,0.902,0.033293,0.003
85,0.8968,0.892,0.034378,0.003
86,0.9012,0.894,0.033708,0.003
87,0.8998,0.895,0.033687,0.003
88,0.902,0.897,0.034322,0.003
89,0.9037,0.897,0.033426,0.003
90,0.903,0.902,0.033105,0.003
91,0.9041,0.901,0.033105,0.003
92,0.9032,0.886,0.032873,0.003
93,0.9022,0.894,0.033122,0.003
94,0.9051,0.899,0.0325,0.003
95,0.9001,0.892,0.033178,0.003
96,0.905,0.895,0.032452,0.003
97,0.9067,0.898,0.032594,0.003
98,0.9058,0.907,0.032714,0.003
99,0.9042,0.891,0.032491,0.003
100,0.9016,0.906,0.032692,0.003
101,0.9078,0.905,0.031714,0.003
102,0.907,0.908,0.03189,0.003
103,0.9063,0.894,0.031795,0.003
104,0.9083,0.896,0.031928,0.003
105,0.909,0.905,0.031828,0.003
106,0.9066,0.894,0.031858,0.003
107,0.9097,0.892,0.031708,0.003
108,0.9077,0.906,0.031447,0.003
109,0.9064,0.903,0.031568,0.003
110,0.9088,0.903,0.031356,0.003
111,0.9077,0.903,0.03138,0.003
112,0.9093,0.905,0.030926,0.003
113,0.9112,0.899,0.030759,0.003
114,0.9083,0.901,0.031346,0.003
115,0.9082,0.897,0.03098,0.003
116,0.9107,0.897,0.030537,0.003
117,0.9118,0.895,0.030531,0.003
118,0.9092,0.897,0.031304,0.003
119,0.9104,0.907,0.030791,0.003
120,0.9113,0.905,0.030416,0.003
121,0.9107,0.899,0.030649,0.003
122,0.9116,0.898,0.030513,0.003
123,0.9111,0.895,0.030206,0.003
124,0.9115,0.905,0.030348,0.003
125,0.9088,0.892,0.030944,0.003
126,0.9144,0.905,0.029759,0.003
127,0.9088,0.895,0.031032,0.003
128,0.9126,0.897,0.030116,0.003
129,0.9147,0.901,0.02972,0.003
130,0.9151,0.899,0.029518,0.003
131,0.9154,0.903,0.029329,0.003
132,0.9139,0.907,0.029806,0.003
133,0.9128,0.898,0.029794,0.003
134,0.9165,0.902,0.029398,0.003
135,0.9138,0.9,0.029949,0.003
136,0.914,0.911,0.029468,0.003
137,0.9134,0.9,0.029719,0.003
138,0.9159,0.896,0.02946,0.003
139,0.9163,0.904,0.028907,0.003
140,0.916,0.905,0.02939,0.003
141,0.9131,0.898,0.029433,0.003
142,0.9167,0.905,0.02893,0.003
143,0.9118,0.895,0.029789,0.003
144,0.9169,0.898,0.028948,0.003
145,0.9148,0.9,0.029495,0.003
146,0.9172,0.904,0.028867,0.003
147,0.9168,0.9,0.028987,0.003
148,0.9184,0.899,0.028743,0.003
149,0.9201,0.909,0.028329,0.003
150,0.9176,0.907,0.028829,0.003
151,0.9192,0.907,0.029011,0.003
152,0.9198,0.911,0.028685,0.003
153,0.9197,0.906,0.028416,0.003
154,0.9218,0.906,0.027961,0.003
155,0.9192,0.909,0.028329,0.003
156,0.9172,0.918,0.028695,0.003
157,0.9202,0.911,0.028195,0.003
158,0.9181,0.908,0.028217,0.003
159,0.9184,0.91,0.028028,0.003
160,0.9189,0.904,0.028062,0.003
161,0.9175,0.905,0.028462,0.003
162,0.9191,0.904,0.027923,0.003
163,0.9193,0.914,0.027865,0.003
164,0.9218,0.913,0.027471,0.003
165,0.9199,0.906,0.027831,0.003
166,0.9204,0.905,0.028168,0.003
167,0.9167,0.917,0.02863,0.003
168,0.9224,0.91,0.027332,0.003
169,0.9206,0.913,0.027818,0.003
170,0.9212,0.907,0.027509,0.003
171,0.9216,0.909,0.027381,0.003
172,0.9192,0.908,0.027744,0.003
173,0.9214,0.911,0.027179,0.003
174,0.9237,0.901,0.027083,0.003
175,0.9181,0.899,0.028365,0.003
176,0.924,0.909,0.027398,0.003
177,0.925,0.906,0.026987,0.003
178,0.9246,0.91,0.027197,0.003
179,0.9232,0.91,0.027604,0.003
180,0.924,0.912,0.027076,0.003
181,0.924,0.915,0.026907,0.003
182,0.9236,0.916,0.027064,0.003
183,0.9203,0.914,0.027849,0.003
184,0.9212,0.912,0.027003,0.004
185,0.9255,0.917,0.026742,0.003
186,0.9249,0.903,0.026774,0.003
187,0.9235,0.904,0.026891,0.003
188,0.9258,0.913,0.026265,0.003
189,0.9234,0.909,0.026425,0.003
190,0.9237,0.913,0.026665,0.003
191,0.9218,0.91,0.027025,0.003
192,0.9261,0.91,0.026235,0.003
193,0.9262,0.906,0.026382,0.003
194,0.9236,0.904,0.027052,0.003
195,0.9256,0.906,0.026221,0.003
196,0.9252,0.903,0.026859,0.003
197,0.926,0.911,0.026574,0.003
198,0.9254,0.908,0.026274,0.003
199,0.9278,0.918,0.026057,0.003
200,0.9243,0.91,0.026011,0.003
201,0.9245,0.912,0.026075,0.003
202,0.9279,0.92,0.025835,0.003
203,0.9249,0.905,0.026382,0.003
204,0.9266,0.917,0.02563,0.003
205,0.9276,0.909,0.026053,0.003
206,0.9264,0.918,0.025899,0.003
207,0.929,0.912,0.025934,0.003
208,0.9277,0.917,0.025359,0.003
209,0.9283,0.906,0.025977,0.003
210,0.9258,0.907,0.025873,0.003
211,0.9283,0.919,0.025241,0.003
212,0.928,0.924,0.025286,0.003
213,0.9262,0.909,0.025845,0.003
214,0.9271,0.906,0.025778,0.003
215,0.927,0.913,0.025288,0.004
216,0.9263,0.918,0.025413,0.003
217,0.9252,0.913,0.025794,0.003
218,0.9267,0.915,0.025324,0.003
219,0.9267,0.905,0.025754,0.003
220,0.9294,0.923,0.02516,0.003
221,0.9284,0.91,0.02515,0.003
222,0.9262,0.916,0.02602,0.003
223,0.9299,0.92,0.025187,0.003
224,0.9298,0.912,0.024839,0.004
225,0.9282,0.907,0.025469,0.003
226,0.9283,0.92,0.025123,0.003
227,0.9302,0.922,0.02468,0.003
228,0.9289,0.91,0.024974,0.003
229,0.9295,0.906,0.025171,0.003
230,0.9311,0.919,0.024567,0.003
231,0.93,0.909,0.02462,0.003
232,0.9314,0.92,0.024637,0.003
233,0.9303,0.915,0.024377,0.003
234,0.9308,0.909,0.02444,0.003
235,0.9313,0.909,0.02444,0.003
236,0.9316,0.914,0.02435,0.003
237,0.9293,0.91,0.024712,0.003
238,0.9309,0.909,0.024673,0.003
239,0.9323,0.916,0.024415,0.003
240,0.9334,0.921,0.024185,0.003
241,0.9323,0.915,0.024115,0.003
242,0.9325,0.913,0.024067,0.003
243,0.9329,0.916,0.024194,0.003
244,0.933,0.913,0.024085,0.003
245,0.9331,0.916,0.024117,0.003
246,0.9304,0.912,0.024345,0.003
247,0.9308,0.912,0.024343,0.003
248,0.9322,0.921,0.024005,0.003
249,0.9319,0.915,0.024034,0.003
250,0.9329,0.917,0.023823,0.003
251,0.933,0.912,0.023936,0.003
252,0.9325,0.916,0.024067,0.003
253,0.93,0.914,0.02435,0.003
254,0.927,0.91,0.024993,0.003
255,0.9337,0.913,0.023727,0.003
256,0.9337,0.919,0.023391,0.003
257,0.9321,0.915,0.023824,0.003
258,0.9325,0.918,0.023947,0.003
259,0.9327,0.917,0.023787,0.003
260,0.936,0.925,0.023717,0.003
261,0.9366,0.921,0.023336,0.003
262,0.9351,0.917,0.023267,0.003
263,0.9335,0.919,0.023685,0.003
264,0.9337,0.915,0.023311,0.003
265,0.9325,0.918,0.023714,0.003
266,0.9332,0.92,0.023485,0.003
267,0.9341,0.921,0.023307,0.003
268,0.936,0.917,0.023178,0.003
269,0.9354,0.91,0.023354,0.003
270,0.9351,0.912,0.023303,0.003
271,0.9345,0.912,0.023653,0.003
272,0.937,0.91,0.023123,0.003
273,0.9319,0.915,0.023874,0.003
274,0.9373,0.921,0.0227,0.003
275,0.9361,0.922,0.023094,0.003
276,0.9346,0.923,0.023599,0.003
277,0.9347,0.909,0.023484,0.003
278,0.934,0.914,0.023221,0.003
279,0.9338,0.919,0.023274,0.003
280,0.9385,0.921,0.022631,0.003
281,0.9369,0.925,0.022745,0.003
282,0.9333,0.911,0.023221,0.003
283,0.9339,0.913,0.023501,0.003
284,0.9354,0.919,0.022833,0.003
285,0.9354,0.917,0.022768,0.003
286,0.937,0.919,0.022668,0.003
287,0.9339,0.911,0.023037,0.003
288,0.9372,0.918,0.022503,0.003
289,0.937,0.916,0.02269,0.003
