step,NZ,total_W,sparsity,val_acc,d_manifold,d_W,prune_time_s,adjust_time_s,candidate_layer,candidate_i,candidate_j,layer_0_NZ,layer_1_NZ,layer_2_NZ
55,2105,2160,0.025463,0.917,1.927095e+00,5.645608e-04,0.6636,3.6411,0,9,104,1904,100,100
56,2104,2160,0.025926,0.916,1.924877e+00,6.121059e-04,0.7196,3.6849,0,5,42,1903,100,100
57,2103,2160,0.026389,0.916,2.731959e+00,6.048987e-04,0.6707,3.6608,0,2,185,1902,100,100
58,2102,2160,0.026852,0.916,2.702850e+00,6.249058e-04,0.6764,3.6318,0,1,193,1901,100,100
59,2101,2160,0.027315,0.916,2.598328e+00,6.236646e-04,0.7106,3.6459,0,1,115,1900,100,100
60,2100,2160,0.027778,0.916,2.563734e+00,6.414794e-04,0.6276,3.6745,0,2,119,1899,100,100
61,2099,2160,0.028241,0.917,2.795326e+00,6.464837e-04,0.6229,3.5871,0,7,27,1898,100,100
62,2098,2160,0.028704,0.917,3.191439e+00,6.554665e-04,0.6438,3.5719,0,6,190,1897,100,100
63,2097,2160,0.029167,0.917,2.815839e+00,6.645473e-04,0.6351,3.5986,0,9,137,1896,100,100
64,2096,2160,0.02963,0.917,2.788592e+00,6.600668e-04,0.6291,3.5991,0,6,15,1895,100,100
65,2095,2160,0.030093,0.917,2.532372e+00,6.811118e-04,0.6287,3.684,0,8,125,1894,100,100
66,2094,2160,0.030556,0.917,2.919772e+00,6.853592e-04,0.6516,3.6055,0,6,40,1893,100,100
67,2093,2160,0.031019,0.917,2.630867e+00,6.963976e-04,0.6253,3.5834,0,7,186,1892,100,100
68,2092,2160,0.031481,0.917,3.273693e+00,7.122598e-04,0.6282,3.5889,0,8,39,1891,100,100
69,2091,2160,0.031944,0.917,3.553549e+00,6.993779e-04,0.6264,3.59,0,6,140,1890,100,100
70,2090,2160,0.032407,0.917,3.181330e+00,7.090049e-04,0.6296,3.6126,0,2,167,1889,100,100
71,2089,2160,0.03287,0.917,3.635889e+00,7.284731e-04,0.6319,3.7349,0,4,0,1888,100,100
72,2088,2160,0.033333,0.917,3.801049e+00,7.562923e-04,0.6862,3.6769,0,5,27,1887,100,100
73,2087,2160,0.033796,0.917,4.828584e+00,7.491258e-04,0.7114,3.7218,0,7,126,1886,100,100
74,2086,2160,0.034259,0.917,4.937682e+00,7.474059e-04,0.6878,3.6471,0,9,194,1885,100,100
75,2085,2160,0.034722,0.917,4.568235e+00,7.542129e-04,0.6372,3.7013,1,4,3,1885,99,100
76,2084,2160,0.035185,0.917,4.249145e+00,7.716888e-04,0.6482,3.6723,0,4,168,1884,99,100
77,2083,2160,0.035648,0.917,4.383889e+00,7.605771e-04,0.6912,3.7167,0,6,189,1883,99,100
78,2082,2160,0.036111,0.917,3.962789e+00,7.795672e-04,0.6801,3.641,0,8,10,1882,99,100
79,2081,2160,0.036574,0.917,4.474912e+00,7.696670e-04,0.6639,3.7265,0,3,138,1881,99,100
80,2080,2160,0.037037,0.918,4.658874e+00,7.813881e-04,0.7073,3.6678,0,0,158,1880,99,100
