Load the parameters from the folder
Found 3 layers in /home/simon/repos/onnxmlir-pim-sparsify/artifacts/e13_obd
Accuracy in validation: 0.9160
Total parameters: 2160
Perturbation distance (sanity check): 1.7152e+00
Starting OBD sparsification loop
step   67 | acc=0.9170 | NZ=  2093 | sparsity=0.0310 | d_m=8.6804e-02
step   68 | acc=0.9170 | NZ=  2092 | sparsity=0.0315 | d_m=8.6237e-02
step   69 | acc=0.9170 | NZ=  2091 | sparsity=0.0319 | d_m=8.5681e-02
step   70 | acc=0.9170 | NZ=  2090 | sparsity=0.0324 | d_m=8.5130e-02
step   71 | acc=0.9170 | NZ=  2089 | sparsity=0.0329 | d_m=8.4572e-02
step   72 | acc=0.9170 | NZ=  2088 | sparsity=0.0333 | d_m=8.4023e-02
step   73 | acc=0.9170 | NZ=  2087 | sparsity=0.0338 | d_m=8.3487e-02
step   74 | acc=0.9170 | NZ=  2086 | sparsity=0.0343 | d_m=8.2966e-02
step   75 | acc=0.9170 | NZ=  2085 | sparsity=0.0347 | d_m=8.2437e-02
step   76 | acc=0.9170 | NZ=  2084 | sparsity=0.0352 | d_m=8.1916e-02
step   77 | acc=0.9170 | NZ=  2083 | sparsity=0.0356 | d_m=8.1418e-02
step   78 | acc=0.9170 | NZ=  2082 | sparsity=0.0361 | d_m=8.0907e-02
step   79 | acc=0.9170 | NZ=  2081 | sparsity=0.0366 | d_m=8.0414e-02
step   80 | acc=0.9170 | NZ=  2080 | sparsity=0.0370 | d_m=7.9910e-02
step   81 | acc=0.9170 | NZ=  2079 | sparsity=0.0375 | d_m=7.9426e-02
step   82 | acc=0.9170 | NZ=  2078 | sparsity=0.0380 | d_m=7.8945e-02
step   83 | acc=0.9170 | NZ=  2077 | sparsity=0.0384 | d_m=7.8474e-02
step   84 | acc=0.9170 | NZ=  2076 | sparsity=0.0389 | d_m=7.7981e-02
step   85 | acc=0.9170 | NZ=  2075 | sparsity=0.0394 | d_m=7.7508e-02
step   86 | acc=0.9170 | NZ=  2074 | sparsity=0.0398 | d_m=7.7042e-02
