step,NZ,total_W,sparsity,val_acc,d_manifold,d_W,prune_time_s,adjust_time_s,candidate_layer,candidate_i,candidate_j,layer_0_NZ,layer_1_NZ
0,2060,2060,0.0,0.923,0.000000e+00,2.096397e-04,0.8467,3.8185,0,2,117,1959,100
1,2059,2060,0.000485,0.923,3.464156e-04,4.427118e-04,0.2583,3.0124,0,2,27,1958,100
2,2058,2060,0.000971,0.923,2.400476e-03,2.970814e-04,0.2717,3.0044,0,2,190,1957,100
3,2057,2060,0.001456,0.923,3.362456e-03,8.422851e-04,0.2569,3.0057,0,2,141,1956,100
4,2056,2060,0.001942,0.923,8.098378e-03,9.270190e-04,0.2567,3.0025,0,2,178,1955,100
5,2055,2060,0.002427,0.923,4.785512e-03,6.340693e-04,0.2685,2.9952,0,2,143,1954,100
6,2054,2060,0.002913,0.923,1.020172e-02,6.728186e-04,0.2648,2.9915,0,2,29,1953,100
7,2053,2060,0.003398,0.923,3.261092e-03,3.322607e-05,0.2543,2.9975,0,8,31,1952,100
8,2052,2060,0.003883,0.923,6.797067e-03,7.488147e-04,0.2618,2.9985,0,2,6,1951,100
9,2051,2060,0.004369,0.923,1.948718e-02,1.168037e-03,0.2608,3.004,0,2,42,1950,100
10,2050,2060,0.004854,0.923,1.201258e-02,9.150831e-04,0.2578,2.9805,0,2,185,1949,100
11,2049,2060,0.00534,0.923,2.426963e-02,1.220685e-03,0.2649,3.0045,0,2,194,1948,100
12,2048,2060,0.005825,0.923,1.258596e-02,3.824307e-05,0.2592,3.0066,0,5,46,1947,100
13,2047,2060,0.006311,0.923,1.622573e-02,1.539223e-02,0.2717,3.0072,1,8,2,1947,99
14,2046,2060,0.006796,0.923,6.962351e-02,1.852801e-03,0.2635,3.0017,0,2,25,1946,99
15,2045,2060,0.007282,0.923,1.169231e-01,1.145520e-03,0.2667,3.0058,0,2,189,1945,99
16,2044,2060,0.007767,0.923,8.381611e-02,2.431533e-03,0.2644,3.0016,0,2,127,1944,99
17,2043,2060,0.008252,0.923,1.240498e-01,3.258346e-03,0.2646,2.9924,0,2,131,1943,99
18,2042,2060,0.008738,0.923,9.576222e-02,2.872525e-03,0.2669,2.993,0,2,45,1942,99
19,2041,2060,0.009223,0.923,1.104899e-01,1.618264e-03,0.2527,2.9911,0,2,132,1941,99
20,2040,2060,0.009709,0.924,9.240094e-02,6.521856e-05,0.2621,2.9802,0,9,137,1940,99
