step,NZ,total_W,sparsity,val_acc,d_manifold,d_W,prune_time_s,adjust_time_s,candidate_layer,candidate_i,candidate_j,layer_0_NZ,layer_1_NZ,layer_2_NZ
0,2160,2160,0.0,0.908,0.000000e+00,9.821661e-03,4.676,0.8178,2,5,7,1960,100,99
1,2159,2160,0.000463,0.908,0.000000e+00,1.688575e-03,3.9306,0.0412,2,2,7,1960,100,98
2,2158,2160,0.000926,0.908,0.000000e+00,1.552313e-03,3.9015,0.044,2,6,7,1960,100,97
3,2157,2160,0.001389,0.908,0.000000e+00,4.921494e-03,3.8227,0.041,2,7,7,1960,100,96
4,2156,2160,0.001852,0.908,0.000000e+00,3.615407e-03,3.8558,0.0467,2,3,7,1960,100,95
5,2155,2160,0.002315,0.908,0.000000e+00,6.288385e-03,3.8147,0.0416,2,0,7,1960,100,94
6,2154,2160,0.002778,0.908,0.000000e+00,1.765195e-04,3.8852,0.0445,2,4,7,1960,100,93
7,2153,2160,0.003241,0.908,0.000000e+00,1.048329e-02,3.8773,0.0456,2,8,7,1960,100,92
8,2152,2160,0.003704,0.908,0.000000e+00,1.428072e-02,3.8984,0.0413,2,9,7,1960,100,91
9,2151,2160,0.004167,0.908,0.000000e+00,5.299724e-03,3.8663,0.0446,1,7,0,1960,99,91
10,2150,2160,0.00463,0.908,0.000000e+00,1.038448e-02,3.8605,0.0451,2,1,7,1960,99,90
11,2149,2160,0.005093,0.908,0.000000e+00,9.888132e-03,3.8155,0.0464,1,7,1,1960,98,90
12,2148,2160,0.005556,0.908,0.000000e+00,8.667136e-03,3.9007,0.0447,1,7,2,1960,97,90
13,2147,2160,0.006019,0.908,0.000000e+00,1.808378e-02,3.832,0.0442,1,7,3,1960,96,90
14,2146,2160,0.006481,0.908,0.000000e+00,4.879953e-03,3.8436,0.041,1,7,4,1960,95,90
15,2145,2160,0.006944,0.908,0.000000e+00,1.648028e-02,3.8306,0.0428,1,7,5,1960,94,90
16,2144,2160,0.007407,0.908,0.000000e+00,8.588424e-03,3.9162,0.0419,1,7,6,1960,93,90
17,2143,2160,0.00787,0.908,0.000000e+00,1.029764e-02,3.8464,0.0412,1,7,7,1960,92,90
18,2142,2160,0.008333,0.908,0.000000e+00,9.358085e-03,3.8066,0.0423,1,7,8,1960,91,90
19,2141,2160,0.008796,0.908,0.000000e+00,8.061643e-03,3.9601,0.0419,1,7,9,1960,90,90
20,2140,2160,0.009259,0.908,0.000000e+00,2.355873e-05,3.9266,0.0437,0,2,14,1959,90,90
21,2139,2160,0.009722,0.908,3.112452e-06,4.085059e-05,3.9272,0.0417,0,2,47,1958,90,90
22,2138,2160,0.010185,0.908,2.516477e-06,2.611278e-05,3.8813,0.0406,0,2,27,1957,90,90
23,2137,2160,0.010648,0.908,7.282587e-06,9.216302e-06,4.0367,0.8428,0,7,24,1956,90,90
24,2136,2160,0.011111,0.908,2.716071e-05,1.445415e-04,3.9512,0.0674,0,2,58,1955,90,90
25,2135,2160,0.011574,0.908,1.819701e-04,5.089089e-06,3.8364,0.9583,0,0,184,1954,90,90
26,2134,2160,0.012037,0.908,1.717452e-04,4.177910e-04,3.5785,0.0726,0,2,143,1953,90,90
27,2133,2160,0.0125,0.909,7.782501e-04,1.337046e-03,3.7338,0.0414,0,2,195,1952,90,90
28,2132,2160,0.012963,0.909,1.754905e-03,6.786477e-04,3.7972,0.0842,0,2,181,1951,90,90
29,2131,2160,0.013426,0.909,1.861438e-03,1.137846e-03,3.7471,0.039,0,2,99,1950,90,90
30,2130,2160,0.013889,0.909,4.051052e-03,1.296147e-03,3.559,0.0701,0,2,11,1949,90,90
31,2129,2160,0.014352,0.909,1.629120e-03,8.529184e-04,3.553,0.0391,0,2,26,1948,90,90
32,2128,2160,0.014815,0.909,4.552886e-03,1.704549e-03,3.5456,0.0389,0,2,6,1947,90,90
33,2127,2160,0.015278,0.909,4.019020e-03,1.226202e-03,3.5378,0.0398,0,2,109,1946,90,90
34,2126,2160,0.015741,0.909,8.289454e-03,1.000867e-03,3.5307,0.0472,0,2,7,1945,90,90
35,2125,2160,0.016204,0.909,6.438063e-03,2.125892e-02,3.5725,0.0668,1,5,2,1945,89,90
36,2124,2160,0.016667,0.91,1.830791e-02,1.119311e-03,3.5492,0.0455,0,2,193,1944,89,90
37,2123,2160,0.01713,0.91,2.922161e-02,2.631176e-03,3.5715,0.0731,0,2,45,1943,89,90
38,2122,2160,0.017593,0.91,3.329287e-02,1.968975e-03,3.5235,1.9777,0,2,168,1942,89,90
39,2121,2160,0.018056,0.91,3.025368e-02,2.458553e-03,3.5556,0.1013,0,2,150,1941,89,90
40,2120,2160,0.018519,0.91,4.270481e-02,1.860964e-03,3.5116,1.0818,0,2,184,1940,89,90
41,2119,2160,0.018981,0.91,3.639136e-02,1.891174e-03,3.5618,0.0616,0,2,94,1939,89,90
42,2118,2160,0.019444,0.91,4.119259e-02,1.407805e-03,3.5676,0.0412,0,2,0,1938,89,90
43,2117,2160,0.019907,0.91,3.914972e-02,1.476757e-03,3.5559,0.0464,0,2,169,1937,89,90
44,2116,2160,0.02037,0.91,5.689301e-02,5.218403e-05,3.5359,1.8924,0,4,187,1936,89,90
45,2115,2160,0.020833,0.91,5.580962e-02,1.648350e-02,3.5698,0.0995,1,2,2,1936,88,90
46,2114,2160,0.021296,0.909,8.190304e-02,3.088525e-03,3.5964,1.885,0,2,173,1935,88,90
47,2113,2160,0.021759,0.909,9.497793e-02,1.674762e-03,3.5385,0.0524,0,2,86,1934,88,90
48,2112,2160,0.022222,0.909,7.215889e-02,2.384016e-03,3.5437,0.0679,0,2,57,1933,88,90
49,2111,2160,0.022685,0.909,9.506059e-02,3.255540e-03,3.5195,0.0482,0,2,151,1932,88,90
50,2110,2160,0.023148,0.909,1.007386e-01,1.581020e-02,3.5458,0.0644,1,0,2,1932,87,90
51,2109,2160,0.023611,0.908,8.617490e-02,9.843460e-05,3.5286,1.8745,0,6,56,1931,87,90
52,2108,2160,0.024074,0.908,8.852758e-02,7.380157e-05,3.5381,1.9367,0,5,169,1930,87,90
53,2107,2160,0.024537,0.908,8.877126e-02,2.509500e-03,3.704,0.0472,0,2,166,1929,87,90
54,2106,2160,0.025,0.908,1.289239e-01,2.600829e-03,3.5259,0.0854,0,2,187,1928,87,90
55,2105,2160,0.025463,0.908,9.292255e-02,3.383428e-03,3.5235,0.0497,0,2,44,1927,87,90
56,2104,2160,0.025926,0.908,1.315740e-01,4.133976e-03,3.4909,0.1037,0,2,172,1926,87,90
57,2103,2160,0.026389,0.908,8.223580e-02,3.367901e-03,3.5244,1.9,0,2,12,1925,87,90
58,2102,2160,0.026852,0.908,7.748917e-02,5.546380e-03,3.5806,1.8922,0,2,183,1924,87,90
59,2101,2160,0.027315,0.908,6.897743e-02,2.598400e-03,3.5572,0.0451,0,2,177,1923,87,90
60,2100,2160,0.027778,0.908,9.809509e-02,4.178981e-03,3.4997,0.0637,0,2,29,1922,87,90
61,2099,2160,0.028241,0.908,9.630404e-02,3.313430e-03,3.492,1.8778,0,2,185,1921,87,90
62,2098,2160,0.028704,0.908,1.007834e-01,3.182765e-03,3.5231,0.3923,0,2,126,1920,87,90
63,2097,2160,0.029167,0.908,1.057911e-01,6.303446e-03,3.5365,1.8879,0,2,87,1919,87,90
64,2096,2160,0.02963,0.908,1.578912e-01,4.037244e-03,3.548,0.912,0,2,180,1918,87,90
65,2095,2160,0.030093,0.908,8.298797e-02,3.897584e-03,3.5541,1.8665,0,2,141,1917,87,90
66,2094,2160,0.030556,0.908,1.513146e-01,5.792160e-03,3.7063,0.6809,0,2,155,1916,87,90
67,2093,2160,0.031019,0.908,8.554035e-02,5.784599e-03,3.5054,1.8955,0,2,3,1915,87,90
68,2092,2160,0.031481,0.908,1.338445e-01,6.033258e-03,3.5076,1.8896,0,2,39,1914,87,90
69,2091,2160,0.031944,0.908,1.615395e-01,4.086073e-03,3.5317,1.8809,0,2,186,1913,87,90
70,2090,2160,0.032407,0.908,1.496199e-01,7.473855e-03,3.516,1.8834,0,2,5,1912,87,90
71,2089,2160,0.03287,0.908,1.459041e-01,4.881671e-03,3.5972,0.5895,0,2,163,1911,87,90
72,2088,2160,0.033333,0.908,1.109000e-01,6.531863e-03,3.5404,1.8816,0,2,79,1910,87,90
73,2087,2160,0.033796,0.908,1.472701e-01,3.539542e-03,3.5288,1.5218,0,2,182,1909,87,90
74,2086,2160,0.034259,0.908,7.920894e-02,1.106631e-04,3.5841,1.8715,0,4,140,1908,87,90
75,2085,2160,0.034722,0.908,8.879459e-02,3.077454e-04,3.5489,1.8668,0,7,64,1907,87,90
76,2084,2160,0.035185,0.908,1.045714e-01,1.834693e-04,3.5463,1.8713,0,8,188,1906,87,90
77,2083,2160,0.035648,0.908,1.091944e-01,1.869820e-04,3.5312,1.9573,0,8,22,1905,87,90
