Load the parameters from the folder
Found 3 layers in /home/simon/repos/onnxmlir-pim-sparsify/artifacts/e16_kwon_full
Accuracy in validation: 0.9160
Total parameters: 2160
Perturbation distance (sanity check): 1.7101e+00
Starting Kwon sparsification loop
step   67 | acc=0.9160 | NZ=  2093 | sparsity=0.0310 | d_m=1.6716e+02
step   68 | acc=0.9160 | NZ=  2092 | sparsity=0.0315 | d_m=1.6168e+02
step   69 | acc=0.9160 | NZ=  2091 | sparsity=0.0319 | d_m=1.5704e+02
step   70 | acc=0.9160 | NZ=  2090 | sparsity=0.0324 | d_m=1.5257e+02
step   71 | acc=0.9160 | NZ=  2089 | sparsity=0.0329 | d_m=1.4856e+02
step   72 | acc=0.9160 | NZ=  2088 | sparsity=0.0333 | d_m=1.4492e+02
step   73 | acc=0.9160 | NZ=  2087 | sparsity=0.0338 | d_m=1.4160e+02
step   74 | acc=0.9160 | NZ=  2086 | sparsity=0.0343 | d_m=1.3857e+02
step   75 | acc=0.9160 | NZ=  2085 | sparsity=0.0347 | d_m=1.3579e+02
step   76 | acc=0.9160 | NZ=  2084 | sparsity=0.0352 | d_m=1.3422e+02
step   77 | acc=0.9160 | NZ=  2083 | sparsity=0.0356 | d_m=1.3157e+02
step   78 | acc=0.9160 | NZ=  2082 | sparsity=0.0361 | d_m=1.2921e+02
step   79 | acc=0.9160 | NZ=  2081 | sparsity=0.0366 | d_m=1.2763e+02
step   80 | acc=0.9160 | NZ=  2080 | sparsity=0.0370 | d_m=1.2547e+02
step   81 | acc=0.9160 | NZ=  2079 | sparsity=0.0375 | d_m=1.2866e+02
step   82 | acc=0.9160 | NZ=  2078 | sparsity=0.0380 | d_m=1.2643e+02
step   83 | acc=0.9150 | NZ=  2077 | sparsity=0.0384 | d_m=6.2326e+02
step   84 | acc=0.9150 | NZ=  2076 | sparsity=0.0389 | d_m=5.0164e+02
step   85 | acc=0.9150 | NZ=  2075 | sparsity=0.0394 | d_m=4.2890e+02
step   86 | acc=0.9150 | NZ=  2074 | sparsity=0.0398 | d_m=3.8228e+02
step   87 | acc=0.9160 | NZ=  2073 | sparsity=0.0403 | d_m=4.0250e+02
step   88 | acc=0.9160 | NZ=  2072 | sparsity=0.0407 | d_m=3.6614e+02
step   89 | acc=0.9160 | NZ=  2071 | sparsity=0.0412 | d_m=3.4201e+02
step   90 | acc=0.9160 | NZ=  2070 | sparsity=0.0417 | d_m=3.2482e+02
step   91 | acc=0.9160 | NZ=  2069 | sparsity=0.0421 | d_m=3.1161e+02
step   92 | acc=0.9150 | NZ=  2068 | sparsity=0.0426 | d_m=4.9114e+02
step   93 | acc=0.9150 | NZ=  2067 | sparsity=0.0431 | d_m=4.3588e+02
step   94 | acc=0.9150 | NZ=  2066 | sparsity=0.0435 | d_m=4.0401e+02
step   95 | acc=0.9150 | NZ=  2065 | sparsity=0.0440 | d_m=3.7992e+02
step   96 | acc=0.9150 | NZ=  2064 | sparsity=0.0444 | d_m=3.6238e+02
step   97 | acc=0.9150 | NZ=  2063 | sparsity=0.0449 | d_m=4.3692e+02
step   98 | acc=0.9160 | NZ=  2062 | sparsity=0.0454 | d_m=2.1208e+03
step   99 | acc=0.9160 | NZ=  2061 | sparsity=0.0458 | d_m=1.6793e+03
step  100 | acc=0.9170 | NZ=  2060 | sparsity=0.0463 | d_m=1.4190e+03
step  101 | acc=0.9160 | NZ=  2059 | sparsity=0.0468 | d_m=1.2522e+03
step  102 | acc=0.9160 | NZ=  2058 | sparsity=0.0472 | d_m=1.1390e+03
step  103 | acc=0.9160 | NZ=  2057 | sparsity=0.0477 | d_m=1.0676e+03
step  104 | acc=0.9160 | NZ=  2056 | sparsity=0.0481 | d_m=1.0168e+03
step  105 | acc=0.9160 | NZ=  2055 | sparsity=0.0486 | d_m=1.0180e+03
step  106 | acc=0.9160 | NZ=  2054 | sparsity=0.0491 | d_m=9.6807e+02
step  107 | acc=0.9150 | NZ=  2053 | sparsity=0.0495 | d_m=9.2924e+02
step  108 | acc=0.9140 | NZ=  2052 | sparsity=0.0500 | d_m=1.1546e+03
step  109 | acc=0.9140 | NZ=  2051 | sparsity=0.0505 | d_m=1.0611e+03
step  110 | acc=0.9140 | NZ=  2050 | sparsity=0.0509 | d_m=1.0056e+03
step  111 | acc=0.9150 | NZ=  2049 | sparsity=0.0514 | d_m=9.7296e+02
step  112 | acc=0.9150 | NZ=  2048 | sparsity=0.0519 | d_m=9.4728e+02
step  113 | acc=0.9150 | NZ=  2047 | sparsity=0.0523 | d_m=9.2496e+02
step  114 | acc=0.9160 | NZ=  2046 | sparsity=0.0528 | d_m=9.6700e+02
step  115 | acc=0.9160 | NZ=  2045 | sparsity=0.0532 | d_m=9.3232e+02
step  116 | acc=0.9160 | NZ=  2044 | sparsity=0.0537 | d_m=9.1502e+02
step  117 | acc=0.9160 | NZ=  2043 | sparsity=0.0542 | d_m=8.9496e+02
step  118 | acc=0.9150 | NZ=  2042 | sparsity=0.0546 | d_m=8.8148e+02
step  119 | acc=0.9160 | NZ=  2041 | sparsity=0.0551 | d_m=1.3026e+03
step  120 | acc=0.9150 | NZ=  2040 | sparsity=0.0556 | d_m=1.1873e+03
step  121 | acc=0.9150 | NZ=  2039 | sparsity=0.0560 | d_m=1.1145e+03
step  122 | acc=0.9150 | NZ=  2038 | sparsity=0.0565 | d_m=1.0676e+03
step  123 | acc=0.9150 | NZ=  2037 | sparsity=0.0569 | d_m=1.0715e+03
step  124 | acc=0.9150 | NZ=  2036 | sparsity=0.0574 | d_m=1.0388e+03
step  125 | acc=0.9150 | NZ=  2035 | sparsity=0.0579 | d_m=1.0562e+03
step  126 | acc=0.9150 | NZ=  2034 | sparsity=0.0583 | d_m=1.1358e+03
step  127 | acc=0.9150 | NZ=  2033 | sparsity=0.0588 | d_m=1.0911e+03
step  128 | acc=0.9150 | NZ=  2032 | sparsity=0.0593 | d_m=1.0606e+03
step  129 | acc=0.9170 | NZ=  2031 | sparsity=0.0597 | d_m=1.1530e+03
step  130 | acc=0.9150 | NZ=  2030 | sparsity=0.0602 | d_m=1.3087e+03
step  131 | acc=0.9150 | NZ=  2029 | sparsity=0.0606 | d_m=1.2717e+03
step  132 | acc=0.9150 | NZ=  2028 | sparsity=0.0611 | d_m=1.3160e+03
step  133 | acc=0.9150 | NZ=  2027 | sparsity=0.0616 | d_m=1.2562e+03
step  134 | acc=0.9160 | NZ=  2026 | sparsity=0.0620 | d_m=1.2151e+03
step  135 | acc=0.9140 | NZ=  2025 | sparsity=0.0625 | d_m=1.2931e+03
step  136 | acc=0.9140 | NZ=  2024 | sparsity=0.0630 | d_m=1.2384e+03
step  137 | acc=0.9150 | NZ=  2023 | sparsity=0.0634 | d_m=1.7192e+03
step  138 | acc=0.9160 | NZ=  2022 | sparsity=0.0639 | d_m=2.0561e+03
step  139 | acc=0.9160 | NZ=  2021 | sparsity=0.0644 | d_m=1.8180e+03
step  140 | acc=0.9160 | NZ=  2020 | sparsity=0.0648 | d_m=1.6817e+03
step  141 | acc=0.9150 | NZ=  2019 | sparsity=0.0653 | d_m=1.6077e+03
step  142 | acc=0.9150 | NZ=  2018 | sparsity=0.0657 | d_m=1.5525e+03
step  143 | acc=0.9150 | NZ=  2017 | sparsity=0.0662 | d_m=1.5026e+03
step  144 | acc=0.9150 | NZ=  2016 | sparsity=0.0667 | d_m=1.4636e+03
step  145 | acc=0.9150 | NZ=  2015 | sparsity=0.0671 | d_m=1.4592e+03
step  146 | acc=0.9150 | NZ=  2014 | sparsity=0.0676 | d_m=1.4244e+03
step  147 | acc=0.9150 | NZ=  2013 | sparsity=0.0681 | d_m=1.4084e+03
step  148 | acc=0.9150 | NZ=  2012 | sparsity=0.0685 | d_m=1.3840e+03
step  149 | acc=0.9150 | NZ=  2011 | sparsity=0.0690 | d_m=1.3640e+03
step  150 | acc=0.9160 | NZ=  2010 | sparsity=0.0694 | d_m=1.4993e+03
step  151 | acc=0.9150 | NZ=  2009 | sparsity=0.0699 | d_m=1.5582e+03
step  152 | acc=0.9160 | NZ=  2008 | sparsity=0.0704 | d_m=1.5082e+03
step  153 | acc=0.9160 | NZ=  2007 | sparsity=0.0708 | d_m=1.4618e+03
step  154 | acc=0.9160 | NZ=  2006 | sparsity=0.0713 | d_m=2.5249e+03
step  155 | acc=0.9160 | NZ=  2005 | sparsity=0.0718 | d_m=2.2325e+03
step  156 | acc=0.9160 | NZ=  2004 | sparsity=0.0722 | d_m=2.0436e+03
step  157 | acc=0.9150 | NZ=  2003 | sparsity=0.0727 | d_m=1.9523e+03
step  158 | acc=0.9150 | NZ=  2002 | sparsity=0.0731 | d_m=1.8788e+03
step  159 | acc=0.9150 | NZ=  2001 | sparsity=0.0736 | d_m=1.8016e+03
step  160 | acc=0.9150 | NZ=  2000 | sparsity=0.0741 | d_m=1.7493e+03
step  161 | acc=0.9140 | NZ=  1999 | sparsity=0.0745 | d_m=3.1752e+03
step  162 | acc=0.9140 | NZ=  1998 | sparsity=0.0750 | d_m=2.7398e+03
step  163 | acc=0.9150 | NZ=  1997 | sparsity=0.0755 | d_m=2.4577e+03
step  164 | acc=0.9160 | NZ=  1996 | sparsity=0.0759 | d_m=2.2633e+03
step  165 | acc=0.9160 | NZ=  1995 | sparsity=0.0764 | d_m=2.1141e+03
step  166 | acc=0.9160 | NZ=  1994 | sparsity=0.0769 | d_m=1.9936e+03
step  167 | acc=0.9160 | NZ=  1993 | sparsity=0.0773 | d_m=2.5690e+03
step  168 | acc=0.9160 | NZ=  1992 | sparsity=0.0778 | d_m=2.3086e+03
step  169 | acc=0.9180 | NZ=  1991 | sparsity=0.0782 | d_m=2.1539e+03
step  170 | acc=0.9180 | NZ=  1990 | sparsity=0.0787 | d_m=2.0591e+03
step  171 | acc=0.9170 | NZ=  1989 | sparsity=0.0792 | d_m=2.0298e+03
step  172 | acc=0.9170 | NZ=  1988 | sparsity=0.0796 | d_m=1.9610e+03
step  173 | acc=0.9160 | NZ=  1987 | sparsity=0.0801 | d_m=1.9050e+03
step  174 | acc=0.9160 | NZ=  1986 | sparsity=0.0806 | d_m=2.9111e+03
step  175 | acc=0.9170 | NZ=  1985 | sparsity=0.0810 | d_m=2.5991e+03
step  176 | acc=0.9170 | NZ=  1984 | sparsity=0.0815 | d_m=2.4078e+03
step  177 | acc=0.9170 | NZ=  1983 | sparsity=0.0819 | d_m=2.3029e+03
step  178 | acc=0.9160 | NZ=  1982 | sparsity=0.0824 | d_m=2.2057e+03
step  179 | acc=0.9160 | NZ=  1981 | sparsity=0.0829 | d_m=2.1321e+03
step  180 | acc=0.9160 | NZ=  1980 | sparsity=0.0833 | d_m=2.0841e+03
step  181 | acc=0.9170 | NZ=  1979 | sparsity=0.0838 | d_m=2.0482e+03
step  182 | acc=0.9160 | NZ=  1978 | sparsity=0.0843 | d_m=2.0320e+03
step  183 | acc=0.9160 | NZ=  1977 | sparsity=0.0847 | d_m=2.0245e+03
step  184 | acc=0.9160 | NZ=  1976 | sparsity=0.0852 | d_m=1.9853e+03
step  185 | acc=0.9150 | NZ=  1975 | sparsity=0.0856 | d_m=2.6601e+03
step  186 | acc=0.9150 | NZ=  1974 | sparsity=0.0861 | d_m=2.4573e+03
step  187 | acc=0.9150 | NZ=  1973 | sparsity=0.0866 | d_m=2.3767e+03
step  188 | acc=0.9150 | NZ=  1972 | sparsity=0.0870 | d_m=2.2861e+03
step  189 | acc=0.9150 | NZ=  1971 | sparsity=0.0875 | d_m=2.2205e+03
step  190 | acc=0.9150 | NZ=  1970 | sparsity=0.0880 | d_m=2.1726e+03
step  191 | acc=0.9150 | NZ=  1969 | sparsity=0.0884 | d_m=2.1389e+03
step  192 | acc=0.9150 | NZ=  1968 | sparsity=0.0889 | d_m=2.1724e+03
step  193 | acc=0.9150 | NZ=  1967 | sparsity=0.0894 | d_m=2.1404e+03
step  194 | acc=0.9150 | NZ=  1966 | sparsity=0.0898 | d_m=2.1226e+03
step  195 | acc=0.9150 | NZ=  1965 | sparsity=0.0903 | d_m=2.1792e+03
step  196 | acc=0.9150 | NZ=  1964 | sparsity=0.0907 | d_m=2.1483e+03
step  197 | acc=0.9140 | NZ=  1963 | sparsity=0.0912 | d_m=2.3620e+03
step  198 | acc=0.9140 | NZ=  1962 | sparsity=0.0917 | d_m=2.3151e+03
step  199 | acc=0.9140 | NZ=  1961 | sparsity=0.0921 | d_m=2.2765e+03
step  200 | acc=0.9140 | NZ=  1960 | sparsity=0.0926 | d_m=2.2443e+03
step  201 | acc=0.9130 | NZ=  1959 | sparsity=0.0931 | d_m=2.4668e+03
step  202 | acc=0.9140 | NZ=  1958 | sparsity=0.0935 | d_m=2.4470e+03
step  203 | acc=0.9140 | NZ=  1957 | sparsity=0.0940 | d_m=2.3871e+03
step  204 | acc=0.9140 | NZ=  1956 | sparsity=0.0944 | d_m=2.3407e+03
step  205 | acc=0.9140 | NZ=  1955 | sparsity=0.0949 | d_m=2.3021e+03
step  206 | acc=0.9140 | NZ=  1954 | sparsity=0.0954 | d_m=2.2694e+03
step  207 | acc=0.9140 | NZ=  1953 | sparsity=0.0958 | d_m=2.2434e+03
step  208 | acc=0.9140 | NZ=  1952 | sparsity=0.0963 | d_m=2.2197e+03
step  209 | acc=0.9150 | NZ=  1951 | sparsity=0.0968 | d_m=2.3793e+03
step  210 | acc=0.9140 | NZ=  1950 | sparsity=0.0972 | d_m=2.3067e+03
step  211 | acc=0.9140 | NZ=  1949 | sparsity=0.0977 | d_m=2.2620e+03
step  212 | acc=0.9140 | NZ=  1948 | sparsity=0.0981 | d_m=2.2714e+03
step  213 | acc=0.9120 | NZ=  1947 | sparsity=0.0986 | d_m=2.5023e+03
step  214 | acc=0.9130 | NZ=  1946 | sparsity=0.0991 | d_m=3.8477e+03
step  215 | acc=0.9130 | NZ=  1945 | sparsity=0.0995 | d_m=3.3774e+03
step  216 | acc=0.9120 | NZ=  1944 | sparsity=0.1000 | d_m=3.2460e+03
step  217 | acc=0.9130 | NZ=  1943 | sparsity=0.1005 | d_m=3.0910e+03
step  218 | acc=0.9130 | NZ=  1942 | sparsity=0.1009 | d_m=2.9764e+03
step  219 | acc=0.9130 | NZ=  1941 | sparsity=0.1014 | d_m=2.9134e+03
step  220 | acc=0.9130 | NZ=  1940 | sparsity=0.1019 | d_m=2.8620e+03
step  221 | acc=0.9130 | NZ=  1939 | sparsity=0.1023 | d_m=2.8211e+03
step  222 | acc=0.9130 | NZ=  1938 | sparsity=0.1028 | d_m=2.7691e+03
step  223 | acc=0.9120 | NZ=  1937 | sparsity=0.1032 | d_m=2.7719e+03
step  224 | acc=0.9130 | NZ=  1936 | sparsity=0.1037 | d_m=2.7204e+03
step  225 | acc=0.9130 | NZ=  1935 | sparsity=0.1042 | d_m=2.6810e+03
step  226 | acc=0.9130 | NZ=  1934 | sparsity=0.1046 | d_m=3.1553e+03
step  227 | acc=0.9130 | NZ=  1933 | sparsity=0.1051 | d_m=2.9987e+03
step  228 | acc=0.9130 | NZ=  1932 | sparsity=0.1056 | d_m=2.8999e+03
step  229 | acc=0.9130 | NZ=  1931 | sparsity=0.1060 | d_m=2.9895e+03
step  230 | acc=0.9120 | NZ=  1930 | sparsity=0.1065 | d_m=2.8949e+03
step  231 | acc=0.9120 | NZ=  1929 | sparsity=0.1069 | d_m=2.8402e+03
step  232 | acc=0.9140 | NZ=  1928 | sparsity=0.1074 | d_m=2.8617e+03
step  233 | acc=0.9140 | NZ=  1927 | sparsity=0.1079 | d_m=2.8810e+03
step  234 | acc=0.9140 | NZ=  1926 | sparsity=0.1083 | d_m=2.8218e+03
step  235 | acc=0.9140 | NZ=  1925 | sparsity=0.1088 | d_m=2.7835e+03
step  236 | acc=0.9120 | NZ=  1924 | sparsity=0.1093 | d_m=2.7572e+03
step  237 | acc=0.9120 | NZ=  1923 | sparsity=0.1097 | d_m=2.7319e+03
step  238 | acc=0.9070 | NZ=  1922 | sparsity=0.1102 | d_m=6.0564e+03
step  239 | acc=0.9080 | NZ=  1921 | sparsity=0.1106 | d_m=5.0683e+03
step  240 | acc=0.9100 | NZ=  1920 | sparsity=0.1111 | d_m=4.5307e+03
step  241 | acc=0.9110 | NZ=  1919 | sparsity=0.1116 | d_m=4.0688e+03
step  242 | acc=0.9100 | NZ=  1918 | sparsity=0.1120 | d_m=3.7405e+03
step  243 | acc=0.9100 | NZ=  1917 | sparsity=0.1125 | d_m=3.5735e+03
step  244 | acc=0.9100 | NZ=  1916 | sparsity=0.1130 | d_m=3.3732e+03
step  245 | acc=0.9090 | NZ=  1915 | sparsity=0.1134 | d_m=3.2269e+03
step  246 | acc=0.9090 | NZ=  1914 | sparsity=0.1139 | d_m=3.1124e+03
step  247 | acc=0.9090 | NZ=  1913 | sparsity=0.1144 | d_m=3.0412e+03
step  248 | acc=0.9100 | NZ=  1912 | sparsity=0.1148 | d_m=3.0203e+03
step  249 | acc=0.9100 | NZ=  1911 | sparsity=0.1153 | d_m=2.9598e+03
step  250 | acc=0.9110 | NZ=  1910 | sparsity=0.1157 | d_m=3.4446e+03
step  251 | acc=0.9110 | NZ=  1909 | sparsity=0.1162 | d_m=4.7364e+03
step  252 | acc=0.9120 | NZ=  1908 | sparsity=0.1167 | d_m=4.2931e+03
step  253 | acc=0.9120 | NZ=  1907 | sparsity=0.1171 | d_m=4.0276e+03
step  254 | acc=0.9120 | NZ=  1906 | sparsity=0.1176 | d_m=3.8754e+03
step  255 | acc=0.9120 | NZ=  1905 | sparsity=0.1181 | d_m=3.7488e+03
step  256 | acc=0.9120 | NZ=  1904 | sparsity=0.1185 | d_m=3.6535e+03
step  257 | acc=0.9120 | NZ=  1903 | sparsity=0.1190 | d_m=3.6344e+03
step  258 | acc=0.9120 | NZ=  1902 | sparsity=0.1194 | d_m=3.5619e+03
step  259 | acc=0.9120 | NZ=  1901 | sparsity=0.1199 | d_m=3.5033e+03
step  260 | acc=0.9120 | NZ=  1900 | sparsity=0.1204 | d_m=3.4596e+03
step  261 | acc=0.9120 | NZ=  1899 | sparsity=0.1208 | d_m=3.4210e+03
step  262 | acc=0.9120 | NZ=  1898 | sparsity=0.1213 | d_m=3.3844e+03
step  263 | acc=0.9120 | NZ=  1897 | sparsity=0.1218 | d_m=3.4100e+03
step  264 | acc=0.9120 | NZ=  1896 | sparsity=0.1222 | d_m=3.5572e+03
