epoch,train_acc,test_acc,train_loss,epoch_time_s
0,0.1001,0.116,0.230141,0.458
1,0.1001,0.116,0.230121,0.004
2,0.1001,0.116,0.2301,0.004
3,0.1001,0.116,0.230075,0.003
4,0.1001,0.116,0.230053,0.003
5,0.1001,0.116,0.230026,0.003
6,0.1001,0.116,0.230003,0.004
7,0.1001,0.116,0.229974,0.003
8,0.1001,0.116,0.229942,0.003
9,0.1001,0.116,0.229908,0.004
10,0.1001,0.116,0.229875,0.003
11,0.1001,0.116,0.22984,0.003
12,0.1001,0.116,0.229805,0.004
13,0.1001,0.116,0.229763,0.003
14,0.1001,0.116,0.229714,0.004
15,0.1001,0.116,0.229666,0.003
16,0.1001,0.116,0.229603,0.003
17,0.1001,0.116,0.229549,0.003
18,0.1001,0.116,0.229481,0.004
19,0.1001,0.116,0.229409,0.003
20,0.1001,0.116,0.229323,0.003
21,0.1001,0.116,0.22923,0.003
22,0.1001,0.116,0.229124,0.003
23,0.1001,0.116,0.229026,0.004
24,0.1001,0.116,0.228899,0.003
25,0.1001,0.116,0.228774,0.004
26,0.1001,0.116,0.228641,0.003
27,0.1001,0.116,0.228506,0.004
28,0.1001,0.116,0.22835,0.003
29,0.1001,0.116,0.228168,0.003
30,0.1001,0.116,0.227959,0.003
31,0.1001,0.116,0.227707,0.004
32,0.1001,0.116,0.227445,0.003
33,0.1011,0.116,0.227176,0.003
34,0.102,0.117,0.226812,0.003
35,0.1035,0.117,0.22649,0.003
36,0.1134,0.129,0.226048,0.003
37,0.1173,0.137,0.225662,0.004
38,0.108,0.121,0.225239,0.003
39,0.1103,0.122,0.22482,0.003
40,0.1169,0.135,0.224315,0.003
41,0.1396,0.152,0.223728,0.003
42,0.1292,0.137,0.223122,0.003
43,0.1149,0.115,0.2225,0.003
44,0.1093,0.1,0.221815,0.003
45,0.1076,0.098,0.221125,0.003
46,0.1067,0.1,0.220378,0.004
47,0.1078,0.1,0.219564,0.003
48,0.1142,0.107,0.218845,0.004
49,0.1202,0.118,0.218126,0.003
50,0.124,0.124,0.217468,0.003
51,0.1278,0.132,0.216734,0.003
52,0.1341,0.135,0.215918,0.003
53,0.1396,0.138,0.21522,0.004
54,0.1478,0.149,0.214514,0.003
55,0.159,0.158,0.213897,0.003
56,0.1693,0.168,0.213253,0.003
57,0.1748,0.177,0.212635,0.003
58,0.1815,0.181,0.212069,0.003
