epoch,train_acc,test_acc,train_loss,epoch_time_s
0,0.1516,0.162,0.228465,0.514
1,0.2025,0.208,0.225337,0.004
2,0.3318,0.318,0.222096,0.004
3,0.4639,0.436,0.218513,0.003
4,0.5385,0.513,0.214725,0.003
5,0.6165,0.591,0.210788,0.003
6,0.6673,0.65,0.205998,0.004
7,0.6621,0.659,0.200326,0.003
8,0.6726,0.667,0.194149,0.004
9,0.6692,0.667,0.187031,0.003
10,0.6915,0.689,0.179116,0.003
11,0.7287,0.726,0.170228,0.003
12,0.7269,0.728,0.16085,0.003
13,0.7406,0.745,0.151255,0.004
14,0.7533,0.757,0.141717,0.004
15,0.7658,0.758,0.132014,0.003
16,0.7819,0.777,0.123093,0.003
17,0.8032,0.802,0.115084,0.003
18,0.8101,0.8,0.10759,0.003
19,0.8054,0.794,0.100968,0.003
20,0.7998,0.784,0.095514,0.003
21,0.8149,0.803,0.090305,0.003
22,0.826,0.809,0.086009,0.003
23,0.8242,0.807,0.081938,0.003
24,0.8299,0.814,0.078273,0.003
25,0.8356,0.817,0.075129,0.003
26,0.8242,0.813,0.072651,0.003
27,0.8383,0.829,0.070107,0.004
28,0.8462,0.835,0.067367,0.004
29,0.8492,0.842,0.065466,0.004
30,0.8496,0.85,0.063963,0.003
31,0.8518,0.844,0.061848,0.003
32,0.853,0.842,0.060198,0.003
33,0.8547,0.842,0.058751,0.003
34,0.8539,0.85,0.057782,0.003
35,0.8556,0.844,0.056598,0.003
36,0.86,0.855,0.055235,0.003
37,0.861,0.853,0.054201,0.003
38,0.8605,0.854,0.053602,0.003
39,0.8649,0.857,0.052331,0.003
40,0.8667,0.862,0.051329,0.003
41,0.8691,0.86,0.050489,0.004
42,0.8682,0.858,0.049642,0.004
43,0.8697,0.859,0.049241,0.003
44,0.8699,0.859,0.048368,0.003
45,0.8738,0.865,0.047821,0.003
46,0.8706,0.858,0.047173,0.003
47,0.8757,0.861,0.046581,0.003
48,0.8733,0.855,0.04602,0.003
49,0.874,0.867,0.045591,0.003
50,0.8798,0.868,0.044876,0.003
51,0.8778,0.87,0.044606,0.003
52,0.8754,0.871,0.044748,0.003
