epoch,train_acc,test_acc,train_loss,epoch_time_s
159,0.7461,0.702,0.076376,0.003
160,0.7482,0.719,0.075435,0.003
161,0.7488,0.713,0.076387,0.003
162,0.7458,0.712,0.076298,0.003
163,0.7517,0.727,0.074821,0.003
164,0.7521,0.713,0.074775,0.004
165,0.7499,0.707,0.074735,0.004
166,0.7571,0.716,0.074279,0.004
167,0.7552,0.711,0.073816,0.004
168,0.7607,0.718,0.073901,0.003
169,0.7567,0.721,0.073746,0.003
170,0.7622,0.72,0.073006,0.003
171,0.76,0.722,0.073012,0.003
172,0.7585,0.715,0.073118,0.003
173,0.7617,0.726,0.073116,0.003
174,0.7577,0.713,0.073174,0.003
175,0.7674,0.717,0.072597,0.003
176,0.7533,0.709,0.073251,0.003
177,0.7611,0.724,0.072184,0.003
178,0.7641,0.723,0.071805,0.003
179,0.7684,0.723,0.072056,0.003
180,0.7616,0.725,0.071503,0.003
181,0.7584,0.734,0.071964,0.003
182,0.7685,0.73,0.071384,0.003
183,0.7624,0.733,0.071307,0.003
184,0.7689,0.73,0.070815,0.003
185,0.7558,0.73,0.071677,0.003
186,0.7735,0.738,0.070228,0.003
187,0.7703,0.735,0.070517,0.003
188,0.7681,0.743,0.070305,0.004
189,0.7616,0.739,0.070507,0.003
190,0.7755,0.733,0.069791,0.003
191,0.776,0.739,0.06918,0.003
192,0.7711,0.729,0.069512,0.003
193,0.7757,0.732,0.069237,0.003
194,0.7672,0.732,0.069654,0.003
195,0.7742,0.744,0.068674,0.003
196,0.7807,0.737,0.069157,0.003
197,0.7812,0.739,0.06828,0.003
198,0.7807,0.742,0.06847,0.003
199,0.7836,0.743,0.067519,0.003
200,0.7832,0.75,0.067303,0.003
201,0.7836,0.746,0.067077,0.003
202,0.7771,0.729,0.068347,0.003
203,0.7877,0.754,0.06657,0.003
204,0.7894,0.754,0.066862,0.003
205,0.7898,0.759,0.066025,0.003
206,0.7933,0.765,0.065894,0.003
207,0.7886,0.751,0.065746,0.003
208,0.7983,0.766,0.065057,0.003
209,0.7987,0.768,0.064586,0.003
210,0.8029,0.766,0.06419,0.003
211,0.8021,0.765,0.064002,0.003
212,0.7947,0.765,0.063979,0.003
213,0.805,0.772,0.062953,0.003
214,0.8079,0.782,0.062564,0.003
215,0.8081,0.776,0.062284,0.003
216,0.8147,0.797,0.061679,0.003
217,0.8029,0.775,0.062032,0.003
218,0.8127,0.794,0.061552,0.003
219,0.8112,0.786,0.060809,0.003
220,0.8166,0.797,0.059645,0.003
221,0.821,0.796,0.059239,0.003
222,0.8105,0.779,0.060066,0.003
223,0.8227,0.813,0.058312,0.003
224,0.8231,0.797,0.058468,0.003
225,0.8266,0.806,0.057699,0.003
226,0.829,0.805,0.057342,0.003
227,0.8272,0.814,0.057074,0.003
228,0.8262,0.8,0.057301,0.003
229,0.8293,0.815,0.056432,0.003
230,0.8309,0.81,0.055797,0.003
231,0.8283,0.813,0.056259,0.003
232,0.8207,0.811,0.056957,0.003
233,0.831,0.808,0.055519,0.003
234,0.8298,0.815,0.054643,0.004
235,0.8343,0.821,0.054349,0.003
236,0.8332,0.819,0.054583,0.004
237,0.8314,0.814,0.054158,0.003
238,0.8362,0.818,0.0539,0.003
239,0.8345,0.828,0.05349,0.003
240,0.8409,0.823,0.053046,0.003
241,0.8405,0.823,0.053044,0.003
242,0.8383,0.828,0.053323,0.004
243,0.8448,0.825,0.052317,0.003
244,0.8437,0.827,0.052102,0.003
245,0.8428,0.819,0.052032,0.003
246,0.8419,0.817,0.052238,0.003
247,0.8443,0.828,0.051992,0.003
248,0.844,0.832,0.051761,0.003
249,0.8451,0.831,0.051885,0.003
250,0.8461,0.828,0.051359,0.003
251,0.8444,0.824,0.051826,0.004
252,0.8462,0.833,0.051218,0.004
253,0.8461,0.836,0.051241,0.003
254,0.8487,0.829,0.050826,0.003
255,0.8436,0.833,0.051116,0.004
256,0.8535,0.834,0.05051,0.003
257,0.8504,0.828,0.050059,0.003
258,0.8516,0.829,0.050207,0.003
259,0.8528,0.829,0.050178,0.003
260,0.8499,0.834,0.050581,0.003
261,0.8519,0.837,0.049728,0.004
262,0.853,0.834,0.049701,0.003
263,0.8506,0.839,0.049783,0.003
264,0.849,0.836,0.050191,0.003
265,0.8546,0.843,0.04938,0.004
266,0.8544,0.836,0.049361,0.004
267,0.8543,0.844,0.049342,0.003
268,0.8564,0.842,0.048993,0.003
269,0.8566,0.835,0.048861,0.003
270,0.854,0.84,0.04899,0.003
271,0.8548,0.839,0.048976,0.003
272,0.8544,0.843,0.049403,0.003
273,0.8561,0.843,0.048601,0.004
274,0.8525,0.831,0.048752,0.003
275,0.8531,0.837,0.048511,0.003
276,0.8511,0.825,0.048886,0.003
277,0.857,0.84,0.047942,0.003
278,0.8554,0.849,0.048312,0.003
279,0.8557,0.84,0.048426,0.003
280,0.8587,0.843,0.048328,0.003
281,0.858,0.839,0.048121,0.003
282,0.8593,0.84,0.047446,0.003
283,0.861,0.846,0.047771,0.003
284,0.8574,0.84,0.048052,0.003
285,0.8624,0.841,0.047234,0.003
286,0.8601,0.847,0.047481,0.003
287,0.86,0.846,0.047321,0.004
288,0.8634,0.851,0.047266,0.003
289,0.8634,0.844,0.046684,0.003
290,0.8638,0.844,0.046851,0.003
291,0.8634,0.844,0.046764,0.003
292,0.8601,0.839,0.04734,0.003
293,0.8627,0.847,0.047102,0.003
294,0.8641,0.855,0.046578,0.003
295,0.8588,0.838,0.046821,0.003
296,0.8568,0.846,0.047347,0.003
297,0.8622,0.853,0.046955,0.004
298,0.8637,0.854,0.046589,0.004
299,0.8666,0.861,0.046079,0.003
300,0.863,0.849,0.04728,0.003
301,0.8659,0.854,0.045878,0.003
302,0.867,0.85,0.046041,0.003
303,0.8647,0.857,0.046436,0.003
304,0.8649,0.859,0.046081,0.003
305,0.8665,0.85,0.04577,0.004
306,0.867,0.852,0.045726,0.003
307,0.8668,0.857,0.045996,0.003
308,0.8604,0.85,0.046287,0.003
309,0.8693,0.859,0.045346,0.003
310,0.8689,0.858,0.045294,0.003
311,0.8667,0.848,0.045658,0.003
312,0.8678,0.847,0.045504,0.003
313,0.8661,0.854,0.045844,0.003
314,0.8679,0.858,0.045556,0.003
315,0.8689,0.854,0.045031,0.003
316,0.8662,0.85,0.045334,0.003
317,0.8683,0.854,0.044987,0.003
318,0.8691,0.849,0.044928,0.003
319,0.8692,0.854,0.044787,0.003
320,0.8684,0.859,0.04482,0.003
321,0.8671,0.847,0.045483,0.003
322,0.8696,0.862,0.044801,0.003
323,0.8719,0.863,0.044662,0.003
324,0.871,0.868,0.044689,0.003
325,0.8697,0.858,0.044568,0.003
326,0.8717,0.859,0.044758,0.003
327,0.8713,0.86,0.044518,0.003
328,0.8721,0.855,0.04434,0.003
329,0.8678,0.861,0.045019,0.003
330,0.8655,0.854,0.045457,0.003
331,0.8715,0.858,0.044251,0.003
332,0.8726,0.863,0.044811,0.003
333,0.8702,0.855,0.044505,0.003
