step,NZ,total_W,sparsity,val_acc,d_manifold,d_W,prune_time_s,adjust_time_s,candidate_layer,candidate_i,candidate_j,layer_0_NZ,layer_1_NZ,layer_2_NZ,layer_3_NZ
0,2260,2260,0.0,0.126,0.000000e+00,8.240114e-03,0.8417,0.8324,0,1,0,1959,100,100,100
1,2259,2260,0.000442,0.126,0.000000e+00,1.587647e-02,0.2887,0.0988,0,1,1,1958,100,100,100
2,2258,2260,0.000885,0.126,0.000000e+00,6.743375e-03,0.2899,0.0873,0,1,2,1957,100,100,100
3,2257,2260,0.001327,0.126,0.000000e+00,8.230834e-03,0.287,0.0853,0,1,3,1956,100,100,100
4,2256,2260,0.00177,0.126,0.000000e+00,2.335119e-02,0.2918,0.094,0,1,4,1955,100,100,100
5,2255,2260,0.002212,0.126,0.000000e+00,4.793727e-03,0.2883,0.0899,0,1,5,1954,100,100,100
6,2254,2260,0.002655,0.126,0.000000e+00,2.443476e-03,0.3001,0.0891,0,1,6,1953,100,100,100
7,2253,2260,0.003097,0.126,0.000000e+00,2.437110e-03,0.2899,0.0913,0,1,7,1952,100,100,100
8,2252,2260,0.00354,0.126,0.000000e+00,1.540121e-02,0.2892,0.091,0,1,8,1951,100,100,100
9,2251,2260,0.003982,0.126,0.000000e+00,7.267221e-03,0.2814,0.0906,0,1,9,1950,100,100,100
10,2250,2260,0.004425,0.126,0.000000e+00,4.686385e-03,0.294,0.0909,0,1,10,1949,100,100,100
11,2249,2260,0.004867,0.126,0.000000e+00,8.348143e-03,0.2903,0.0913,0,1,11,1948,100,100,100
12,2248,2260,0.00531,0.126,0.000000e+00,2.557667e-03,0.2898,0.0912,0,1,12,1947,100,100,100
13,2247,2260,0.005752,0.126,0.000000e+00,6.474218e-03,0.2709,0.0908,0,1,13,1946,100,100,100
14,2246,2260,0.006195,0.126,0.000000e+00,1.615277e-03,0.2763,0.0907,0,1,14,1945,100,100,100
15,2245,2260,0.006637,0.126,0.000000e+00,4.049572e-03,0.2705,0.09,0,1,15,1944,100,100,100
16,2244,2260,0.00708,0.126,0.000000e+00,1.572513e-02,0.2687,0.0907,0,1,16,1943,100,100,100
17,2243,2260,0.007522,0.126,0.000000e+00,1.118594e-02,0.2714,0.0912,0,1,17,1942,100,100,100
18,2242,2260,0.007965,0.126,0.000000e+00,2.323111e-03,0.2709,0.0894,0,1,19,1941,100,100,100
