step,neurons_pruned,total_neurons,neuron_sparsity,val_acc,d_manifold,d_W,prune_time_s,adjust_time_s,candidate_layer,candidate_neuron,layer_0_neurons,layer_1_neurons
0,1,400,0.0,0.969,0.000000e+00,1.939462e-01,7.8875,0.0,0,63,199,200
1,2,400,0.0025,0.969,0.000000e+00,1.977937e-01,7.8904,0.0,0,90,198,200
2,3,400,0.005,0.969,0.000000e+00,1.854660e-01,7.8601,0.0,0,94,197,200
3,4,400,0.0075,0.969,0.000000e+00,3.116364e-01,7.8439,0.0,0,99,196,200
4,5,400,0.01,0.966,0.000000e+00,1.965938e-01,7.8334,0.0,0,148,195,200
5,6,400,0.0125,0.966,0.000000e+00,1.345584e-01,7.8309,0.0,1,1,195,199
6,7,400,0.015,0.966,0.000000e+00,1.382227e-01,7.8396,0.0,1,11,195,198
7,8,400,0.0175,0.966,0.000000e+00,1.477289e-01,7.798,0.0,1,24,195,197
8,9,400,0.02,0.966,0.000000e+00,1.504452e-01,7.7962,0.0,1,31,195,196
9,10,400,0.0225,0.966,0.000000e+00,1.414849e-01,7.7651,0.0,1,39,195,195
10,11,400,0.025,0.966,0.000000e+00,1.955408e-01,7.7438,0.0,1,42,195,194
11,12,400,0.0275,0.968,0.000000e+00,1.479936e-01,7.7188,0.0,1,45,195,193
12,13,400,0.03,0.968,0.000000e+00,1.414739e-01,7.7203,0.0,1,52,195,192
13,14,400,0.0325,0.968,0.000000e+00,1.428437e-01,7.7278,0.0,1,55,195,191
14,15,400,0.035,0.968,0.000000e+00,1.821488e-01,7.7046,0.0,1,63,195,190
15,16,400,0.0375,0.967,0.000000e+00,1.498333e-01,7.6822,0.0,1,66,195,189
16,17,400,0.04,0.967,0.000000e+00,2.007009e-01,7.667,0.0,1,81,195,188
17,18,400,0.0425,0.965,0.000000e+00,1.441398e-01,7.6473,0.0,1,92,195,187
18,19,400,0.045,0.965,0.000000e+00,1.338463e-01,7.6337,0.0,1,118,195,186
19,20,400,0.0475,0.965,0.000000e+00,1.414572e-01,7.6142,0.0,1,123,195,185
20,21,400,0.05,0.965,0.000000e+00,1.325858e-01,7.5922,0.0,1,141,195,184
21,22,400,0.0525,0.965,0.000000e+00,1.717632e-01,7.5673,0.0,1,156,195,183
22,23,400,0.055,0.965,0.000000e+00,1.451386e-01,7.5453,0.0,1,161,195,182
23,24,400,0.0575,0.965,0.000000e+00,1.470817e-01,7.5173,0.0,1,181,195,181
24,25,400,0.06,0.965,0.000000e+00,1.549286e-01,7.5007,0.0,1,191,195,180
25,26,400,0.0625,0.965,0.000000e+00,1.883688e-01,7.4874,14.6586,0,70,194,180
26,27,400,0.065,0.965,8.791954e-05,1.469703e-01,7.4678,12.803,1,93,194,179
27,28,400,0.0675,0.965,2.949168e-03,1.396100e-01,7.4459,12.8506,1,91,194,178
28,29,400,0.07,0.965,6.139590e-03,1.512823e-01,7.4717,12.8872,1,78,194,177
29,30,400,0.0725,0.965,2.542259e-02,2.016860e-01,7.4495,12.8836,0,167,193,177
30,31,400,0.075,0.965,4.659187e-02,1.360508e-01,7.4324,12.8696,1,33,193,176
31,32,400,0.0775,0.965,8.230830e-02,1.828449e-01,7.4229,12.8906,0,68,192,176
32,33,400,0.08,0.965,1.196403e-01,1.466786e-01,7.3915,12.8882,1,125,192,175
33,34,400,0.0825,0.965,1.732695e-01,2.076392e-01,7.3684,12.8816,0,178,191,175
34,35,400,0.085,0.965,2.646091e-01,1.406575e-01,7.3556,12.8948,1,28,191,174
35,36,400,0.0875,0.965,3.713506e-01,2.049830e-01,7.333,12.8893,1,102,191,173
36,37,400,0.09,0.964,4.906134e-01,1.285208e-01,7.3059,12.9397,1,183,191,172
37,38,400,0.0925,0.964,6.030205e-01,1.464556e-01,7.3405,12.9781,1,49,191,171
38,39,400,0.095,0.964,7.369490e-01,2.429461e-01,7.3009,12.9559,0,147,190,171
39,40,400,0.0975,0.961,8.853927e-01,1.915849e-01,7.2934,12.9743,0,136,189,171
40,41,400,0.1,0.961,1.038687e+00,2.099268e-01,7.2635,12.9785,0,13,188,171
41,42,400,0.1025,0.961,1.192392e+00,1.520047e-01,7.2504,12.9758,1,116,188,170
42,43,400,0.105,0.959,1.359297e+00,2.052151e-01,7.2351,12.9796,0,87,187,170
43,44,400,0.1075,0.96,1.559352e+00,1.453025e-01,7.2032,12.9804,1,113,187,169
44,45,400,0.11,0.96,1.772407e+00,2.062157e-01,7.1816,12.9865,0,16,186,169
45,46,400,0.1125,0.96,1.997397e+00,1.416205e-01,7.1693,12.9804,1,98,186,168
46,47,400,0.115,0.96,2.280731e+00,1.446712e-01,7.1489,12.9854,1,114,186,167
47,48,400,0.1175,0.96,2.605640e+00,1.904432e-01,7.1308,12.9748,0,38,185,167
48,49,400,0.12,0.96,2.980456e+00,1.837529e-01,7.1002,12.9796,0,32,184,167
49,50,400,0.1225,0.96,3.425514e+00,1.447711e-01,7.0705,12.9664,1,132,184,166
50,51,400,0.125,0.96,3.842643e+00,1.267463e-01,7.0574,12.973,1,159,184,165
51,52,400,0.1275,0.96,4.634062e+00,1.494951e-01,7.054,12.9842,1,193,184,164
52,53,400,0.13,0.96,5.453487e+00,1.944529e-01,7.0246,12.9869,0,74,183,164
53,54,400,0.1325,0.96,6.706128e+00,1.426121e-01,6.9965,12.9788,1,176,183,163
54,55,400,0.135,0.96,8.288502e+00,1.393865e-01,6.9893,12.9977,1,76,183,162
55,56,400,0.1375,0.959,9.660320e+00,1.759226e-01,6.9589,13.0579,1,89,183,161
56,57,400,0.14,0.958,1.167780e+01,1.509489e-01,6.956,13.0698,1,195,183,160
57,58,400,0.1425,0.959,1.388991e+01,1.978987e-01,6.9388,13.0896,0,75,182,160
58,59,400,0.145,0.959,1.673859e+01,1.485050e-01,6.9435,13.1034,1,44,182,159
59,60,400,0.1475,0.957,1.967181e+01,2.269103e-01,6.9191,13.1145,1,41,182,158
60,61,400,0.15,0.949,2.463297e+01,1.930608e-01,6.9064,13.1226,0,132,181,158
61,62,400,0.1525,0.949,2.972036e+01,2.047531e-01,6.8981,13.1299,1,135,181,157
62,63,400,0.155,0.945,3.511239e+01,2.547279e-01,6.8755,13.1283,0,130,180,157
63,64,400,0.1575,0.94,4.720650e+01,2.802648e-01,6.8582,13.1283,0,169,179,157
64,65,400,0.16,0.938,6.024283e+01,1.421599e-01,6.8603,13.1369,1,120,179,156
65,66,400,0.1625,0.938,6.506325e+01,1.452526e-01,6.8155,13.1286,1,23,179,155
