Load the parameters from the folder
Found 3 layers in /home/simon/repos/onnxmlir-pim-sparsify/artifacts/e15_magnitude_full
Accuracy in validation: 0.9160
Total parameters: 2160
Perturbation distance (sanity check): 1.0889e+00
Starting magnitude sparsification loop
step   40 | acc=0.9170 | NZ=  2120 | sparsity=0.0185 | d_m=1.0369e+00
step   41 | acc=0.9170 | NZ=  2119 | sparsity=0.0190 | d_m=9.4370e-01
step   42 | acc=0.9170 | NZ=  2118 | sparsity=0.0194 | d_m=9.6279e-01
step   43 | acc=0.9170 | NZ=  2117 | sparsity=0.0199 | d_m=1.0370e+00
step   44 | acc=0.9170 | NZ=  2116 | sparsity=0.0204 | d_m=9.2672e-01
step   45 | acc=0.9170 | NZ=  2115 | sparsity=0.0208 | d_m=1.0264e+00
step   46 | acc=0.9170 | NZ=  2114 | sparsity=0.0213 | d_m=1.1394e+00
step   47 | acc=0.9170 | NZ=  2113 | sparsity=0.0218 | d_m=1.3335e+00
step   48 | acc=0.9170 | NZ=  2112 | sparsity=0.0222 | d_m=1.5063e+00
step   49 | acc=0.9170 | NZ=  2111 | sparsity=0.0227 | d_m=1.8168e+00
step   50 | acc=0.9160 | NZ=  2110 | sparsity=0.0231 | d_m=1.7485e+00
step   51 | acc=0.9160 | NZ=  2109 | sparsity=0.0236 | d_m=1.9240e+00
step   52 | acc=0.9170 | NZ=  2108 | sparsity=0.0241 | d_m=1.8549e+00
step   53 | acc=0.9160 | NZ=  2107 | sparsity=0.0245 | d_m=1.6445e+00
step   54 | acc=0.9170 | NZ=  2106 | sparsity=0.0250 | d_m=1.8831e+00
step   55 | acc=0.9160 | NZ=  2105 | sparsity=0.0255 | d_m=1.9354e+00
step   56 | acc=0.9160 | NZ=  2104 | sparsity=0.0259 | d_m=1.9292e+00
step   57 | acc=0.9160 | NZ=  2103 | sparsity=0.0264 | d_m=2.7400e+00
step   58 | acc=0.9160 | NZ=  2102 | sparsity=0.0269 | d_m=2.7140e+00
step   59 | acc=0.9160 | NZ=  2101 | sparsity=0.0273 | d_m=2.5913e+00
step   60 | acc=0.9160 | NZ=  2100 | sparsity=0.0278 | d_m=2.5709e+00
step   61 | acc=0.9170 | NZ=  2099 | sparsity=0.0282 | d_m=2.8133e+00
step   62 | acc=0.9170 | NZ=  2098 | sparsity=0.0287 | d_m=3.2098e+00
step   63 | acc=0.9170 | NZ=  2097 | sparsity=0.0292 | d_m=2.8241e+00
step   64 | acc=0.9170 | NZ=  2096 | sparsity=0.0296 | d_m=2.7995e+00
step   65 | acc=0.9170 | NZ=  2095 | sparsity=0.0301 | d_m=2.5389e+00
step   66 | acc=0.9170 | NZ=  2094 | sparsity=0.0306 | d_m=2.9228e+00
step   67 | acc=0.9170 | NZ=  2093 | sparsity=0.0310 | d_m=2.6429e+00
step   68 | acc=0.9170 | NZ=  2092 | sparsity=0.0315 | d_m=3.3158e+00
step   69 | acc=0.9160 | NZ=  2091 | sparsity=0.0319 | d_m=3.5782e+00
step   70 | acc=0.9160 | NZ=  2090 | sparsity=0.0324 | d_m=3.2149e+00
step   71 | acc=0.9170 | NZ=  2089 | sparsity=0.0329 | d_m=3.7079e+00
step   72 | acc=0.9160 | NZ=  2088 | sparsity=0.0333 | d_m=4.2779e+00
step   73 | acc=0.9170 | NZ=  2087 | sparsity=0.0338 | d_m=4.3544e+00
step   74 | acc=0.9170 | NZ=  2086 | sparsity=0.0343 | d_m=5.3162e+00
step   75 | acc=0.9160 | NZ=  2085 | sparsity=0.0347 | d_m=4.6530e+00
step   76 | acc=0.9160 | NZ=  2084 | sparsity=0.0352 | d_m=4.3386e+00
step   77 | acc=0.9160 | NZ=  2083 | sparsity=0.0356 | d_m=4.1733e+00
step   78 | acc=0.9160 | NZ=  2082 | sparsity=0.0361 | d_m=4.3103e+00
step   79 | acc=0.9160 | NZ=  2081 | sparsity=0.0366 | d_m=3.9141e+00
step   80 | acc=0.9160 | NZ=  2080 | sparsity=0.0370 | d_m=4.2314e+00
step   81 | acc=0.9160 | NZ=  2079 | sparsity=0.0375 | d_m=4.7684e+00
step   82 | acc=0.9160 | NZ=  2078 | sparsity=0.0380 | d_m=4.6794e+00
step   83 | acc=0.9160 | NZ=  2077 | sparsity=0.0384 | d_m=5.3544e+00
step   84 | acc=0.9170 | NZ=  2076 | sparsity=0.0389 | d_m=5.4526e+00
step   85 | acc=0.9170 | NZ=  2075 | sparsity=0.0394 | d_m=5.4256e+00
step   86 | acc=0.9170 | NZ=  2074 | sparsity=0.0398 | d_m=6.1314e+00
step   87 | acc=0.9170 | NZ=  2073 | sparsity=0.0403 | d_m=6.7632e+00
step   88 | acc=0.9170 | NZ=  2072 | sparsity=0.0407 | d_m=6.4485e+00
step   89 | acc=0.9160 | NZ=  2071 | sparsity=0.0412 | d_m=5.8466e+00
step   90 | acc=0.9160 | NZ=  2070 | sparsity=0.0417 | d_m=5.9698e+00
step   91 | acc=0.9160 | NZ=  2069 | sparsity=0.0421 | d_m=6.9340e+00
step   92 | acc=0.9160 | NZ=  2068 | sparsity=0.0426 | d_m=7.3156e+00
step   93 | acc=0.9160 | NZ=  2067 | sparsity=0.0431 | d_m=6.6614e+00
step   94 | acc=0.9160 | NZ=  2066 | sparsity=0.0435 | d_m=6.8769e+00
step   95 | acc=0.9160 | NZ=  2065 | sparsity=0.0440 | d_m=6.3744e+00
step   96 | acc=0.9170 | NZ=  2064 | sparsity=0.0444 | d_m=7.0116e+00
step   97 | acc=0.9170 | NZ=  2063 | sparsity=0.0449 | d_m=7.7266e+00
step   98 | acc=0.9170 | NZ=  2062 | sparsity=0.0454 | d_m=7.6343e+00
step   99 | acc=0.9160 | NZ=  2061 | sparsity=0.0458 | d_m=7.0593e+00
step  100 | acc=0.9160 | NZ=  2060 | sparsity=0.0463 | d_m=7.5909e+00
step  101 | acc=0.9160 | NZ=  2059 | sparsity=0.0468 | d_m=7.1849e+00
step  102 | acc=0.9160 | NZ=  2058 | sparsity=0.0472 | d_m=6.8632e+00
step  103 | acc=0.9160 | NZ=  2057 | sparsity=0.0477 | d_m=7.9317e+00
step  104 | acc=0.9170 | NZ=  2056 | sparsity=0.0481 | d_m=1.0410e+01
step  105 | acc=0.9170 | NZ=  2055 | sparsity=0.0486 | d_m=8.9116e+00
step  106 | acc=0.9170 | NZ=  2054 | sparsity=0.0491 | d_m=9.5261e+00
step  107 | acc=0.9160 | NZ=  2053 | sparsity=0.0495 | d_m=9.8396e+00
step  108 | acc=0.9160 | NZ=  2052 | sparsity=0.0500 | d_m=9.5169e+00
step  109 | acc=0.9160 | NZ=  2051 | sparsity=0.0505 | d_m=9.9409e+00
step  110 | acc=0.9160 | NZ=  2050 | sparsity=0.0509 | d_m=9.9536e+00
step  111 | acc=0.9160 | NZ=  2049 | sparsity=0.0514 | d_m=1.0978e+01
step  112 | acc=0.9160 | NZ=  2048 | sparsity=0.0519 | d_m=1.0722e+01
step  113 | acc=0.9160 | NZ=  2047 | sparsity=0.0523 | d_m=1.1136e+01
step  114 | acc=0.9160 | NZ=  2046 | sparsity=0.0528 | d_m=1.4421e+01
step  115 | acc=0.9160 | NZ=  2045 | sparsity=0.0532 | d_m=1.2679e+01
step  116 | acc=0.9160 | NZ=  2044 | sparsity=0.0537 | d_m=1.4200e+01
step  117 | acc=0.9170 | NZ=  2043 | sparsity=0.0542 | d_m=1.3865e+01
step  118 | acc=0.9170 | NZ=  2042 | sparsity=0.0546 | d_m=1.4569e+01
step  119 | acc=0.9180 | NZ=  2041 | sparsity=0.0551 | d_m=1.3856e+01
step  120 | acc=0.9180 | NZ=  2040 | sparsity=0.0556 | d_m=1.5369e+01
step  121 | acc=0.9180 | NZ=  2039 | sparsity=0.0560 | d_m=1.5888e+01
step  122 | acc=0.9180 | NZ=  2038 | sparsity=0.0565 | d_m=1.4430e+01
step  123 | acc=0.9180 | NZ=  2037 | sparsity=0.0569 | d_m=1.4619e+01
step  124 | acc=0.9180 | NZ=  2036 | sparsity=0.0574 | d_m=1.4452e+01
step  125 | acc=0.9180 | NZ=  2035 | sparsity=0.0579 | d_m=1.4251e+01
step  126 | acc=0.9180 | NZ=  2034 | sparsity=0.0583 | d_m=1.4820e+01
step  127 | acc=0.9180 | NZ=  2033 | sparsity=0.0588 | d_m=1.5597e+01
step  128 | acc=0.9180 | NZ=  2032 | sparsity=0.0593 | d_m=1.6420e+01
step  129 | acc=0.9180 | NZ=  2031 | sparsity=0.0597 | d_m=1.9061e+01
step  130 | acc=0.9180 | NZ=  2030 | sparsity=0.0602 | d_m=1.8780e+01
step  131 | acc=0.9170 | NZ=  2029 | sparsity=0.0606 | d_m=2.0206e+01
step  132 | acc=0.9170 | NZ=  2028 | sparsity=0.0611 | d_m=1.9846e+01
step  133 | acc=0.9170 | NZ=  2027 | sparsity=0.0616 | d_m=1.9527e+01
step  134 | acc=0.9160 | NZ=  2026 | sparsity=0.0620 | d_m=2.4533e+01
step  135 | acc=0.9170 | NZ=  2025 | sparsity=0.0625 | d_m=2.1636e+01
step  136 | acc=0.9170 | NZ=  2024 | sparsity=0.0630 | d_m=2.1427e+01
step  137 | acc=0.9170 | NZ=  2023 | sparsity=0.0634 | d_m=2.0845e+01
step  138 | acc=0.9170 | NZ=  2022 | sparsity=0.0639 | d_m=1.9287e+01
step  139 | acc=0.9160 | NZ=  2021 | sparsity=0.0644 | d_m=1.9516e+01
step  140 | acc=0.9160 | NZ=  2020 | sparsity=0.0648 | d_m=2.0678e+01
step  141 | acc=0.9160 | NZ=  2019 | sparsity=0.0653 | d_m=2.1490e+01
step  142 | acc=0.9160 | NZ=  2018 | sparsity=0.0657 | d_m=2.3893e+01
step  143 | acc=0.9160 | NZ=  2017 | sparsity=0.0662 | d_m=2.5930e+01
step  144 | acc=0.9160 | NZ=  2016 | sparsity=0.0667 | d_m=2.7463e+01
step  145 | acc=0.9160 | NZ=  2015 | sparsity=0.0671 | d_m=2.5497e+01
step  146 | acc=0.9160 | NZ=  2014 | sparsity=0.0676 | d_m=2.6112e+01
step  147 | acc=0.9160 | NZ=  2013 | sparsity=0.0681 | d_m=3.1061e+01
step  148 | acc=0.9160 | NZ=  2012 | sparsity=0.0685 | d_m=3.4546e+01
step  149 | acc=0.9160 | NZ=  2011 | sparsity=0.0690 | d_m=3.7220e+01
step  150 | acc=0.9160 | NZ=  2010 | sparsity=0.0694 | d_m=3.1517e+01
step  151 | acc=0.9160 | NZ=  2009 | sparsity=0.0699 | d_m=2.9121e+01
step  152 | acc=0.9160 | NZ=  2008 | sparsity=0.0704 | d_m=2.7600e+01
step  153 | acc=0.9160 | NZ=  2007 | sparsity=0.0708 | d_m=2.7532e+01
step  154 | acc=0.9160 | NZ=  2006 | sparsity=0.0713 | d_m=2.8031e+01
step  155 | acc=0.9160 | NZ=  2005 | sparsity=0.0718 | d_m=3.0185e+01
step  156 | acc=0.9160 | NZ=  2004 | sparsity=0.0722 | d_m=2.9638e+01
step  157 | acc=0.9160 | NZ=  2003 | sparsity=0.0727 | d_m=2.8292e+01
step  158 | acc=0.9160 | NZ=  2002 | sparsity=0.0731 | d_m=2.9092e+01
step  159 | acc=0.9160 | NZ=  2001 | sparsity=0.0736 | d_m=2.8304e+01
step  160 | acc=0.9160 | NZ=  2000 | sparsity=0.0741 | d_m=3.5763e+01
step  161 | acc=0.9160 | NZ=  1999 | sparsity=0.0745 | d_m=3.3156e+01
step  162 | acc=0.9160 | NZ=  1998 | sparsity=0.0750 | d_m=3.4735e+01
step  163 | acc=0.9160 | NZ=  1997 | sparsity=0.0755 | d_m=3.4894e+01
step  164 | acc=0.9170 | NZ=  1996 | sparsity=0.0759 | d_m=3.2994e+01
step  165 | acc=0.9160 | NZ=  1995 | sparsity=0.0764 | d_m=3.3357e+01
step  166 | acc=0.9160 | NZ=  1994 | sparsity=0.0769 | d_m=3.4901e+01
step  167 | acc=0.9160 | NZ=  1993 | sparsity=0.0773 | d_m=3.5352e+01
step  168 | acc=0.9160 | NZ=  1992 | sparsity=0.0778 | d_m=3.6432e+01
step  169 | acc=0.9160 | NZ=  1991 | sparsity=0.0782 | d_m=3.8639e+01
