epoch,train_acc,test_acc,train_loss,epoch_time_s
0,0.1361,0.126,0.227138,0.435
1,0.301,0.264,0.22356,0.004
2,0.4168,0.389,0.219782,0.003
3,0.4899,0.457,0.215713,0.003
4,0.5402,0.52,0.2112,0.003
5,0.5972,0.565,0.205817,0.004
6,0.6141,0.595,0.200026,0.004
7,0.6388,0.618,0.193366,0.004
8,0.6487,0.621,0.185867,0.004
9,0.6547,0.638,0.177564,0.004
10,0.6812,0.669,0.168556,0.004
11,0.6841,0.669,0.159372,0.004
12,0.7204,0.696,0.149571,0.004
13,0.7201,0.702,0.140065,0.004
14,0.7364,0.726,0.131274,0.003
15,0.7533,0.734,0.12249,0.004
16,0.7625,0.739,0.1147,0.004
17,0.7696,0.745,0.107685,0.004
18,0.7704,0.748,0.101225,0.003
19,0.7946,0.777,0.095521,0.003
20,0.8029,0.792,0.090414,0.003
21,0.8057,0.797,0.085974,0.003
22,0.8143,0.804,0.082092,0.003
23,0.82,0.809,0.078602,0.003
24,0.8239,0.811,0.075461,0.003
25,0.8191,0.8,0.072725,0.003
26,0.8225,0.809,0.070425,0.003
27,0.8243,0.805,0.068133,0.003
28,0.8272,0.805,0.06616,0.003
29,0.8284,0.806,0.064436,0.003
30,0.8413,0.83,0.062298,0.003
31,0.8444,0.835,0.060975,0.003
32,0.8449,0.832,0.059475,0.003
33,0.8518,0.843,0.058334,0.003
34,0.8535,0.835,0.056842,0.003
35,0.8535,0.832,0.055801,0.003
36,0.854,0.842,0.054701,0.003
37,0.859,0.851,0.053649,0.003
38,0.8623,0.853,0.052971,0.003
39,0.8612,0.847,0.051983,0.003
40,0.8605,0.839,0.051289,0.004
41,0.866,0.846,0.050517,0.003
42,0.866,0.859,0.049833,0.004
43,0.8695,0.853,0.048807,0.004
44,0.8699,0.857,0.048274,0.003
45,0.8685,0.851,0.047839,0.003
46,0.8748,0.868,0.047045,0.003
47,0.8756,0.863,0.04646,0.003
48,0.8763,0.866,0.045817,0.003
49,0.8729,0.86,0.045756,0.003
50,0.8778,0.873,0.045226,0.004
51,0.8787,0.865,0.044451,0.004
52,0.8787,0.87,0.044193,0.004
53,0.8807,0.875,0.043629,0.003
54,0.8799,0.869,0.043358,0.003
55,0.8798,0.875,0.043118,0.004
56,0.88,0.878,0.04284,0.004
57,0.8826,0.873,0.042223,0.003
58,0.8865,0.877,0.041643,0.003
59,0.8854,0.868,0.041447,0.003
60,0.8859,0.883,0.040946,0.003
61,0.8871,0.875,0.040761,0.003
62,0.8902,0.885,0.040439,0.003
63,0.8901,0.882,0.040171,0.003
64,0.8885,0.877,0.040346,0.003
65,0.8916,0.878,0.039558,0.003
66,0.8884,0.876,0.039477,0.003
67,0.8901,0.891,0.039076,0.004
68,0.8903,0.885,0.038721,0.004
69,0.8909,0.881,0.038682,0.003
70,0.8914,0.882,0.038233,0.004
71,0.8928,0.886,0.038198,0.004
72,0.8942,0.891,0.037752,0.003
73,0.8964,0.889,0.037499,0.003
74,0.8928,0.89,0.037401,0.003
75,0.8941,0.893,0.037438,0.003
76,0.8946,0.884,0.036997,0.003
77,0.8977,0.894,0.036742,0.003
78,0.8958,0.892,0.036623,0.004
79,0.8958,0.895,0.036337,0.003
80,0.8933,0.887,0.036305,0.003
81,0.8975,0.895,0.035887,0.004
82,0.8961,0.891,0.035851,0.003
83,0.8951,0.888,0.035741,0.004
84,0.8991,0.888,0.036094,0.003
85,0.8994,0.893,0.035175,0.003
86,0.8995,0.895,0.035247,0.003
87,0.8999,0.9,0.035097,0.003
88,0.8974,0.892,0.035572,0.003
89,0.8986,0.893,0.034732,0.003
90,0.8989,0.899,0.034602,0.004
91,0.9001,0.895,0.034391,0.003
92,0.8998,0.892,0.034447,0.003
93,0.903,0.898,0.033878,0.003
94,0.901,0.895,0.03457,0.003
95,0.9045,0.897,0.033879,0.003
96,0.9045,0.9,0.033844,0.003
97,0.9033,0.897,0.033745,0.004
98,0.9031,0.894,0.033641,0.003
99,0.904,0.893,0.033489,0.003
100,0.9039,0.892,0.033291,0.003
101,0.9039,0.898,0.033256,0.003
102,0.905,0.896,0.03298,0.004
103,0.9074,0.899,0.03281,0.004
104,0.9037,0.895,0.032844,0.003
105,0.9068,0.9,0.03258,0.003
106,0.9067,0.902,0.032485,0.003
107,0.9067,0.901,0.032697,0.004
108,0.905,0.897,0.032714,0.003
109,0.9058,0.905,0.032631,0.003
110,0.9073,0.902,0.032169,0.003
111,0.9097,0.902,0.031941,0.003
112,0.9094,0.896,0.032005,0.003
113,0.9104,0.901,0.031649,0.003
114,0.9065,0.901,0.031762,0.003
115,0.9101,0.9,0.03143,0.003
116,0.9111,0.9,0.031318,0.004
117,0.9112,0.903,0.031258,0.003
118,0.9113,0.898,0.031255,0.003
119,0.912,0.905,0.03098,0.003
120,0.9081,0.891,0.031318,0.003
121,0.9111,0.905,0.031136,0.003
122,0.9122,0.904,0.030772,0.003
123,0.9093,0.895,0.031594,0.003
124,0.9126,0.905,0.031202,0.003
125,0.911,0.909,0.030663,0.003
126,0.9096,0.9,0.030962,0.003
127,0.914,0.903,0.030316,0.003
128,0.9148,0.902,0.030154,0.004
129,0.914,0.902,0.03013,0.003
130,0.912,0.908,0.0306,0.003
131,0.9123,0.901,0.030319,0.003
132,0.9146,0.905,0.030025,0.003
133,0.9162,0.907,0.029666,0.003
134,0.9152,0.907,0.029884,0.003
135,0.9164,0.908,0.029522,0.004
136,0.9164,0.907,0.029535,0.004
137,0.9159,0.903,0.02962,0.003
138,0.9166,0.904,0.029631,0.003
139,0.9179,0.908,0.029202,0.003
140,0.9181,0.912,0.029027,0.003
141,0.9177,0.914,0.028993,0.003
142,0.9171,0.909,0.029424,0.004
143,0.9196,0.909,0.028736,0.004
144,0.919,0.91,0.028778,0.004
145,0.9188,0.909,0.028759,0.003
146,0.9175,0.907,0.028783,0.004
147,0.921,0.909,0.028539,0.004
148,0.9192,0.904,0.02881,0.004
149,0.9201,0.909,0.02848,0.004
150,0.9194,0.913,0.028221,0.003
151,0.9196,0.917,0.028245,0.003
152,0.9209,0.914,0.028159,0.003
153,0.919,0.914,0.028245,0.003
154,0.9206,0.906,0.028108,0.004
155,0.9203,0.909,0.028181,0.004
156,0.9184,0.912,0.028282,0.003
157,0.9199,0.91,0.027833,0.003
158,0.9207,0.91,0.027653,0.003
159,0.9218,0.914,0.027719,0.004
160,0.9219,0.907,0.027679,0.003
161,0.9189,0.907,0.02773,0.004
162,0.922,0.918,0.027349,0.003
163,0.9238,0.913,0.027293,0.004
164,0.9236,0.911,0.027093,0.004
165,0.9236,0.911,0.027124,0.004
