epoch,train_acc,test_acc,train_loss,epoch_time_s
0,0.1692,0.174,0.229758,0.408
1,0.182,0.183,0.229526,0.004
2,0.1951,0.193,0.229274,0.004
3,0.2045,0.207,0.229009,0.003
4,0.2082,0.211,0.228717,0.003
5,0.2158,0.219,0.228388,0.003
6,0.2204,0.217,0.228049,0.003
7,0.2308,0.224,0.227653,0.003
8,0.2318,0.226,0.227223,0.004
9,0.2384,0.232,0.226741,0.003
10,0.2464,0.236,0.226219,0.004
11,0.2515,0.244,0.225599,0.003
12,0.2578,0.252,0.224948,0.004
13,0.2685,0.259,0.22416,0.004
14,0.2893,0.278,0.223293,0.003
15,0.3065,0.3,0.222331,0.004
16,0.3219,0.319,0.221226,0.003
17,0.3343,0.325,0.219959,0.003
18,0.346,0.333,0.218518,0.004
19,0.3692,0.352,0.216818,0.003
20,0.3751,0.362,0.214878,0.003
21,0.3769,0.359,0.212576,0.003
22,0.3795,0.356,0.209987,0.003
23,0.3752,0.365,0.206992,0.004
24,0.3743,0.371,0.203586,0.003
25,0.3828,0.381,0.199661,0.003
26,0.3926,0.385,0.195386,0.003
27,0.3966,0.37,0.190746,0.003
28,0.4162,0.383,0.185813,0.003
29,0.4467,0.416,0.18058,0.004
30,0.4607,0.431,0.175063,0.003
31,0.4892,0.462,0.169301,0.003
32,0.4986,0.477,0.163801,0.003
33,0.5313,0.498,0.1582,0.003
34,0.5403,0.502,0.152826,0.004
35,0.5579,0.521,0.147563,0.003
36,0.5845,0.556,0.142395,0.003
37,0.614,0.591,0.137496,0.003
38,0.6317,0.603,0.13255,0.003
39,0.6436,0.624,0.127968,0.004
40,0.6594,0.646,0.123522,0.003
41,0.6427,0.623,0.119366,0.004
42,0.6576,0.64,0.115257,0.004
43,0.6816,0.668,0.111593,0.004
44,0.6687,0.648,0.108362,0.004
45,0.7134,0.695,0.105079,0.004
46,0.7118,0.693,0.102353,0.004
47,0.7146,0.703,0.099334,0.004
48,0.716,0.69,0.097178,0.003
49,0.7152,0.702,0.094659,0.003
50,0.7114,0.693,0.092591,0.004
51,0.7275,0.707,0.090346,0.004
52,0.7356,0.716,0.088872,0.004
53,0.7378,0.719,0.086714,0.004
54,0.7468,0.727,0.085029,0.003
55,0.7575,0.726,0.083754,0.004
56,0.7603,0.731,0.082224,0.003
57,0.7605,0.734,0.080518,0.003
58,0.7548,0.723,0.079417,0.004
59,0.7559,0.722,0.07836,0.004
60,0.7716,0.743,0.077129,0.004
61,0.7708,0.747,0.075549,0.003
62,0.7726,0.754,0.074456,0.004
63,0.7869,0.762,0.073195,0.003
64,0.7849,0.758,0.071948,0.003
65,0.7876,0.763,0.070875,0.003
66,0.7976,0.769,0.069819,0.003
67,0.7971,0.773,0.068885,0.003
68,0.8021,0.776,0.067753,0.003
69,0.8061,0.777,0.066883,0.003
70,0.7992,0.781,0.066283,0.004
71,0.8099,0.786,0.064815,0.004
72,0.8142,0.788,0.064148,0.003
73,0.8168,0.796,0.063195,0.003
74,0.8153,0.801,0.062654,0.003
75,0.822,0.796,0.061745,0.003
76,0.8197,0.791,0.061391,0.004
77,0.8233,0.802,0.060133,0.003
78,0.8254,0.815,0.059538,0.003
79,0.823,0.81,0.0592,0.003
80,0.8303,0.819,0.058375,0.003
81,0.8309,0.816,0.057579,0.003
82,0.833,0.825,0.057044,0.003
83,0.8327,0.819,0.056382,0.003
84,0.8325,0.824,0.055614,0.003
85,0.8312,0.822,0.055669,0.003
86,0.8391,0.822,0.054712,0.004
87,0.8363,0.833,0.054873,0.004
88,0.8345,0.827,0.054712,0.004
89,0.8353,0.827,0.054154,0.003
90,0.8392,0.827,0.053495,0.003
91,0.8419,0.837,0.052863,0.003
92,0.8409,0.818,0.05292,0.004
93,0.8431,0.816,0.052292,0.003
94,0.8472,0.829,0.051521,0.003
95,0.8456,0.824,0.051614,0.004
96,0.8489,0.836,0.050877,0.003
97,0.8467,0.835,0.051165,0.003
98,0.8483,0.845,0.050532,0.004
99,0.8507,0.837,0.050223,0.003
100,0.8516,0.84,0.050126,0.003
101,0.8557,0.843,0.049322,0.004
102,0.8527,0.841,0.04951,0.003
103,0.8556,0.841,0.049052,0.003
104,0.8582,0.848,0.048812,0.003
105,0.8545,0.85,0.048832,0.003
106,0.8549,0.844,0.048472,0.003
107,0.8566,0.849,0.048351,0.004
108,0.8604,0.856,0.047626,0.003
109,0.8587,0.845,0.047723,0.003
110,0.8581,0.847,0.047416,0.004
111,0.8612,0.855,0.047327,0.003
112,0.8607,0.852,0.046958,0.003
113,0.8628,0.858,0.046615,0.003
114,0.8647,0.855,0.046363,0.004
115,0.8638,0.853,0.046412,0.004
116,0.8662,0.854,0.046151,0.003
117,0.8671,0.856,0.045881,0.003
118,0.8655,0.853,0.04556,0.003
119,0.8659,0.859,0.045556,0.004
120,0.8662,0.862,0.045371,0.004
121,0.8685,0.859,0.045139,0.004
122,0.8689,0.862,0.044898,0.004
123,0.8695,0.861,0.044762,0.004
124,0.868,0.866,0.044851,0.004
125,0.8663,0.857,0.045099,0.004
126,0.8715,0.868,0.044032,0.004
127,0.8669,0.874,0.044516,0.004
128,0.8691,0.861,0.044291,0.003
129,0.8723,0.87,0.04345,0.003
130,0.8724,0.868,0.043372,0.004
131,0.8738,0.869,0.043341,0.004
132,0.8747,0.867,0.043138,0.004
133,0.8742,0.867,0.042991,0.003
134,0.8752,0.875,0.042822,0.003
135,0.8766,0.865,0.042944,0.004
136,0.8743,0.865,0.042687,0.004
137,0.8747,0.872,0.042475,0.004
138,0.8758,0.869,0.042269,0.003
139,0.8779,0.874,0.041975,0.004
140,0.8777,0.869,0.042191,0.003
141,0.8765,0.867,0.04196,0.004
142,0.8784,0.872,0.041627,0.004
143,0.8772,0.868,0.041995,0.004
