epoch,train_acc,test_acc,train_loss,epoch_time_s
0,0.1618,0.171,0.229909,0.413
1,0.1801,0.192,0.229634,0.004
2,0.1893,0.205,0.229342,0.003
3,0.1941,0.214,0.229051,0.003
4,0.206,0.224,0.228768,0.004
5,0.2199,0.235,0.228468,0.004
6,0.2269,0.236,0.228148,0.004
7,0.2321,0.241,0.2278,0.004
8,0.2359,0.248,0.227423,0.004
9,0.2677,0.284,0.227015,0.003
10,0.2866,0.305,0.226562,0.003
11,0.3119,0.327,0.226059,0.003
12,0.3226,0.349,0.22552,0.003
13,0.3271,0.352,0.224907,0.003
14,0.3364,0.355,0.224229,0.004
15,0.34,0.361,0.223465,0.004
16,0.3597,0.379,0.222629,0.003
17,0.3809,0.4,0.221632,0.003
18,0.3805,0.395,0.220462,0.003
19,0.3929,0.404,0.219226,0.004
20,0.4076,0.414,0.217738,0.003
21,0.4132,0.416,0.216006,0.004
22,0.4175,0.421,0.214066,0.003
23,0.429,0.425,0.211859,0.004
24,0.4351,0.424,0.209274,0.003
25,0.4317,0.418,0.206338,0.003
26,0.4447,0.429,0.202916,0.003
27,0.4566,0.434,0.19907,0.003
28,0.4731,0.453,0.194951,0.003
29,0.4457,0.425,0.19009,0.003
30,0.4693,0.453,0.184823,0.003
31,0.4814,0.465,0.179244,0.003
32,0.4973,0.478,0.173325,0.003
33,0.519,0.496,0.167587,0.004
34,0.5492,0.528,0.161743,0.003
35,0.5758,0.548,0.155665,0.003
36,0.6076,0.595,0.149849,0.003
37,0.6194,0.6,0.144305,0.003
38,0.6456,0.645,0.138834,0.004
39,0.6512,0.64,0.133823,0.003
40,0.6587,0.653,0.128938,0.004
41,0.6843,0.678,0.124325,0.004
42,0.707,0.71,0.119583,0.003
43,0.6988,0.702,0.115413,0.004
44,0.7095,0.707,0.11153,0.004
45,0.7187,0.718,0.10751,0.003
46,0.7336,0.724,0.103669,0.003
47,0.7346,0.737,0.100316,0.004
48,0.7404,0.732,0.096783,0.004
49,0.7406,0.73,0.093713,0.004
50,0.7558,0.747,0.090536,0.004
