step,NZ,total_W,sparsity,val_acc,d_manifold,d_W,prune_time_s,adjust_time_s,candidate_layer,candidate_i,candidate_j,layer_0_NZ,layer_1_NZ,layer_2_NZ,layer_3_NZ
0,2260,2260,0.0,0.126,0.000000e+00,1.183513e-02,0.9398,0.8526,2,1,0,1960,100,99,100
1,2259,2260,0.000442,0.126,0.000000e+00,1.653949e-02,0.3597,0.0963,2,1,1,1960,100,98,100
2,2258,2260,0.000885,0.126,0.000000e+00,2.889897e-03,0.3541,0.0846,2,1,2,1960,100,97,100
3,2257,2260,0.001327,0.126,0.000000e+00,1.198446e-02,0.3686,0.0903,2,1,5,1960,100,96,100
4,2256,2260,0.00177,0.126,0.000000e+00,9.701708e-03,0.3824,0.0926,2,1,7,1960,100,95,100
5,2255,2260,0.002212,0.126,0.000000e+00,7.617404e-04,0.38,0.0888,2,2,4,1960,100,94,100
6,2254,2260,0.002655,0.126,0.000000e+00,1.783959e-02,0.3726,0.0891,2,2,5,1960,100,93,100
7,2253,2260,0.003097,0.126,0.000000e+00,7.503432e-03,0.3663,0.0911,2,2,7,1960,100,92,100
8,2252,2260,0.00354,0.126,0.000000e+00,1.338786e-04,0.3548,0.0891,2,2,9,1960,100,91,100
9,2251,2260,0.003982,0.126,0.000000e+00,6.561572e-04,0.3606,0.093,2,3,7,1960,100,90,100
10,2250,2260,0.004425,0.126,0.000000e+00,5.992541e-03,0.3652,0.0908,2,6,0,1960,100,89,100
11,2249,2260,0.004867,0.126,0.000000e+00,6.110719e-06,0.3417,3.7047,0,5,185,1959,100,89,100
12,2248,2260,0.00531,0.126,1.810032e-14,4.391792e-04,0.3649,0.0866,3,8,2,1959,100,89,99
13,2247,2260,0.005752,0.126,4.497932e-14,2.011682e-03,0.3557,0.0888,3,7,1,1959,100,89,98
14,2246,2260,0.006195,0.126,8.595270e-14,3.765242e-03,0.3515,0.0299,3,8,1,1959,100,89,97
15,2245,2260,0.006637,0.126,2.122852e-13,3.535542e-03,0.3514,0.0245,3,0,1,1959,100,89,96
16,2244,2260,0.00708,0.126,3.846818e-13,2.744452e-05,0.3645,0.0233,1,9,6,1959,99,89,96
17,2243,2260,0.007522,0.126,5.872632e-13,1.530455e-03,0.3594,0.0231,3,7,2,1959,99,89,95
18,2242,2260,0.007965,0.126,8.926903e-13,5.751859e-03,0.3421,0.0233,3,1,1,1959,99,89,94
19,2241,2260,0.008407,0.126,1.198604e-12,5.533287e-03,0.3473,0.0215,3,9,1,1959,99,89,93
20,2240,2260,0.00885,0.126,1.607663e-12,1.380676e-03,0.3408,0.0227,2,2,2,1959,99,88,93
21,2239,2260,0.009292,0.126,2.326319e-12,9.310648e-03,0.3436,0.0216,3,3,1,1959,99,88,92
22,2238,2260,0.009735,0.126,3.151582e-12,7.972502e-05,0.3443,0.0216,0,8,63,1958,99,88,92
23,2237,2260,0.010177,0.126,4.149352e-12,1.658503e-04,0.3384,0.0304,0,8,94,1957,99,88,92
24,2236,2260,0.010619,0.126,4.757525e-12,1.158623e-02,0.3453,0.0228,3,5,1,1957,99,88,91
25,2235,2260,0.011062,0.126,6.423169e-12,7.569373e-06,0.3441,3.6578,0,0,18,1956,99,88,91
26,2234,2260,0.011504,0.126,7.041861e-12,4.950994e-05,0.3459,3.6443,0,1,141,1955,99,88,91
27,2233,2260,0.011947,0.126,9.172539e-12,9.328697e-05,0.35,3.6361,0,1,166,1954,99,88,91
28,2232,2260,0.012389,0.126,1.091176e-11,1.542630e-02,0.3515,0.0229,3,6,1,1954,99,88,90
29,2231,2260,0.012832,0.126,1.332683e-11,2.003465e-04,0.3612,0.0203,0,8,157,1953,99,88,90
30,2230,2260,0.013274,0.126,1.579372e-11,2.017435e-04,0.3661,0.0202,0,8,16,1952,99,88,90
31,2229,2260,0.013717,0.126,1.557964e-11,4.143297e-03,0.3644,0.0317,3,6,2,1952,99,88,89
32,2228,2260,0.014159,0.126,1.819069e-11,1.793514e-04,0.3952,0.0219,1,7,5,1952,98,88,89
33,2227,2260,0.014602,0.126,2.113152e-11,1.989104e-02,0.3618,0.0235,3,2,1,1952,98,88,88
34,2226,2260,0.015044,0.126,2.444271e-11,1.110972e-04,0.3626,0.0209,0,6,19,1951,98,88,88
35,2225,2260,0.015487,0.126,2.809459e-11,1.135332e-04,0.3609,0.0221,1,8,5,1951,97,88,88
36,2224,2260,0.015929,0.126,3.177037e-11,5.563811e-03,0.3563,0.0211,3,0,2,1951,97,88,87
37,2223,2260,0.016372,0.126,3.566469e-11,6.119627e-03,0.3519,0.023,3,1,2,1951,97,88,86
38,2222,2260,0.016814,0.126,3.934824e-11,6.679047e-03,0.3475,0.0214,3,3,2,1951,97,88,85
39,2221,2260,0.017257,0.126,4.262126e-11,2.737863e-04,0.3543,0.0235,0,8,36,1950,97,88,85
40,2220,2260,0.017699,0.126,4.706587e-11,2.186746e-04,0.3479,0.0225,0,8,53,1949,97,88,85
41,2219,2260,0.018142,0.126,4.702766e-11,1.431183e-02,0.3517,0.0209,2,1,4,1949,97,87,85
42,2218,2260,0.018584,0.126,5.280189e-11,1.037377e-02,0.3548,0.0239,2,1,3,1949,97,86,85
43,2217,2260,0.019027,0.126,5.280189e-11,1.380566e-02,0.3478,0.0215,2,1,8,1949,97,85,85
44,2216,2260,0.019469,0.126,5.280189e-11,9.914692e-03,0.3518,0.0219,2,1,6,1949,97,84,85
45,2215,2260,0.019912,0.126,5.280189e-11,3.025775e-03,0.351,0.0227,2,1,9,1949,97,83,85
46,2214,2260,0.020354,0.126,5.280189e-11,2.029173e-02,0.3486,0.0254,3,4,1,1949,97,83,84
47,2213,2260,0.020796,0.126,5.280189e-11,1.372416e-04,0.36,0.0206,0,5,116,1948,97,83,84
48,2212,2260,0.021239,0.126,5.957522e-11,5.258999e-03,0.3536,0.0212,3,2,2,1948,97,83,83
49,2211,2260,0.021681,0.126,6.680824e-11,5.544605e-03,0.3489,0.0206,3,4,2,1948,97,83,82
50,2210,2260,0.022124,0.126,7.373483e-11,2.831010e-04,0.3557,0.0227,0,8,50,1947,97,83,82
51,2209,2260,0.022566,0.126,8.283661e-11,2.942117e-04,0.3589,0.0212,0,8,125,1946,97,83,82
52,2208,2260,0.023009,0.126,8.187437e-11,3.561168e-04,0.3511,0.0217,0,8,178,1945,97,83,82
53,2207,2260,0.023451,0.126,8.423178e-11,1.033761e-02,0.3515,0.0236,3,5,2,1945,97,83,81
54,2206,2260,0.023894,0.126,9.585488e-11,3.228205e-04,0.3548,3.6487,0,6,13,1944,97,83,81
55,2205,2260,0.024336,0.126,1.122876e-10,2.280635e-04,0.3518,0.0209,0,6,50,1943,97,83,81
56,2204,2260,0.024779,0.126,1.059203e-10,2.607654e-04,0.3524,3.6509,0,5,154,1942,97,83,81
57,2203,2260,0.025221,0.126,1.226514e-10,3.048167e-04,0.3597,3.6496,0,5,138,1941,97,83,81
58,2202,2260,0.025664,0.126,1.314523e-10,6.308266e-04,0.3555,0.0237,0,8,170,1940,97,83,81
59,2201,2260,0.026106,0.126,1.514849e-10,3.450031e-04,0.3636,0.0333,0,8,105,1939,97,83,81
60,2200,2260,0.026549,0.126,1.387846e-10,3.795837e-04,0.3523,0.0279,0,8,2,1938,97,83,81
61,2199,2260,0.026991,0.126,1.511767e-10,4.230188e-05,0.4077,3.6444,0,7,189,1937,97,83,81
62,2198,2260,0.027434,0.126,1.666461e-10,8.205317e-04,0.3529,0.0203,0,8,92,1936,97,83,81
63,2197,2260,0.027876,0.126,1.995829e-10,3.938809e-04,0.3467,0.0217,0,8,148,1935,97,83,81
64,2196,2260,0.028319,0.126,1.779709e-10,5.834567e-04,0.3572,0.0202,0,8,83,1934,97,83,81
65,2195,2260,0.028761,0.126,2.075687e-10,9.310379e-04,0.3634,0.0236,0,8,93,1933,97,83,81
66,2194,2260,0.029204,0.126,2.397967e-10,1.184628e-03,0.36,0.023,0,8,104,1932,97,83,81
67,2193,2260,0.029646,0.126,2.370061e-10,3.555301e-04,0.3517,0.0212,0,6,130,1931,97,83,81
68,2192,2260,0.030088,0.126,2.763426e-10,4.954049e-04,0.3506,0.0647,0,6,191,1930,97,83,81
69,2191,2260,0.030531,0.126,2.630515e-10,4.217588e-04,0.348,0.0217,0,6,97,1929,97,83,81
70,2190,2260,0.030973,0.126,2.766300e-10,4.622195e-04,0.3484,0.0288,0,6,76,1928,97,83,81
71,2189,2260,0.031416,0.126,2.985516e-10,4.973229e-04,0.3346,0.0221,0,6,84,1927,97,83,81
72,2188,2260,0.031858,0.126,3.212834e-10,5.983980e-04,0.3477,0.0217,0,6,37,1926,97,83,81
73,2187,2260,0.032301,0.126,3.210280e-10,5.812373e-04,0.3399,0.0227,0,6,72,1925,97,83,81
74,2186,2260,0.032743,0.126,3.277716e-10,5.607663e-04,0.3396,0.0215,0,6,117,1924,97,83,81
75,2185,2260,0.033186,0.126,3.337303e-10,9.146748e-05,0.3472,3.6584,1,8,1,1924,96,83,81
76,2184,2260,0.033628,0.126,3.691728e-10,6.759471e-04,0.3437,0.0231,3,4,6,1924,96,83,80
77,2183,2260,0.034071,0.126,4.205347e-10,7.488174e-04,0.3462,0.0229,3,7,6,1924,96,83,79
78,2182,2260,0.034513,0.126,4.704162e-10,1.152163e-03,0.356,0.0204,0,8,70,1923,96,83,79
79,2181,2260,0.034956,0.126,5.253418e-10,1.226400e-03,0.3712,0.0222,0,8,56,1922,96,83,79
80,2180,2260,0.035398,0.126,5.161067e-10,1.226692e-03,0.3679,0.0208,0,8,22,1921,96,83,79
81,2179,2260,0.035841,0.126,5.632969e-10,4.728691e-05,0.3579,3.6673,0,7,76,1920,96,83,79
82,2178,2260,0.036283,0.126,5.889834e-10,1.255541e-03,0.357,0.0207,1,5,6,1920,95,83,79
83,2177,2260,0.036726,0.126,6.529280e-10,4.364642e-05,0.359,3.6457,0,4,136,1919,95,83,79
84,2176,2260,0.037168,0.126,6.634921e-10,5.118895e-03,0.3622,0.0227,2,2,0,1919,95,82,79
85,2175,2260,0.037611,0.126,7.324506e-10,6.130517e-03,0.3475,0.0515,2,2,1,1919,95,81,79
86,2174,2260,0.038053,0.126,7.324506e-10,1.577527e-02,0.3531,0.0873,2,2,3,1919,95,80,79
87,2173,2260,0.038496,0.126,7.324506e-10,2.089288e-03,0.3486,0.0879,2,2,6,1919,95,79,79
88,2172,2260,0.038938,0.126,7.324506e-10,3.167261e-03,0.3738,0.0904,2,2,8,1919,95,78,79
89,2171,2260,0.039381,0.126,7.324506e-10,2.007390e-02,0.3541,0.0916,3,9,2,1919,95,78,78
90,2170,2260,0.039823,0.126,7.324506e-10,2.506876e-04,0.3493,0.0216,0,1,113,1918,95,78,78
91,2169,2260,0.040265,0.126,8.069250e-10,3.204966e-03,0.3611,0.0224,1,7,8,1918,94,78,78
92,2168,2260,0.040708,0.126,8.807268e-10,4.573891e-05,0.3479,3.6494,0,0,101,1917,94,78,78
93,2167,2260,0.04115,0.126,8.857458e-10,3.413656e-05,0.3501,3.6443,0,9,91,1916,94,78,78
