step,NZ,total_W,sparsity,val_acc,d_manifold,d_W,prune_time_s,adjust_time_s,candidate_layer,candidate_i,candidate_j,layer_0_NZ,layer_1_NZ
0,2060,2060,0.0,0.922,0.000000e+00,2.175436e-05,0.8325,3.8112,0,2,155,1959,100
1,2059,2060,0.000485,0.922,5.189306e-07,5.103798e-05,0.246,3.0082,0,2,118,1958,100
2,2058,2060,0.000971,0.922,1.029123e-06,1.302233e-04,0.2476,2.9834,0,2,178,1957,100
3,2057,2060,0.001456,0.922,1.620326e-05,2.066581e-04,0.237,2.9883,0,2,152,1956,100
4,2056,2060,0.001942,0.922,8.131370e-05,4.211671e-04,0.2436,2.9917,0,2,106,1955,100
5,2055,2060,0.002427,0.922,5.666570e-05,3.191075e-04,0.2464,2.9978,0,2,134,1954,100
6,2054,2060,0.002913,0.922,1.172128e-04,5.442845e-04,0.2477,2.9845,0,2,38,1953,100
7,2053,2060,0.003398,0.922,1.739770e-04,8.466514e-04,0.2425,2.9875,0,2,175,1952,100
8,2052,2060,0.003883,0.922,5.099493e-04,5.635222e-04,0.2425,2.9907,0,2,172,1951,100
9,2051,2060,0.004369,0.922,2.990472e-04,1.033932e-03,0.2449,3.0033,0,2,176,1950,100
10,2050,2060,0.004854,0.922,1.018433e-03,1.236903e-03,0.2421,3.0121,0,2,157,1949,100
11,2049,2060,0.00534,0.922,5.149148e-04,1.044979e-03,0.2421,2.9991,0,2,121,1948,100
12,2048,2060,0.005825,0.922,1.322718e-03,1.244377e-03,0.2432,3.0089,0,2,131,1947,100
13,2047,2060,0.006311,0.922,1.055578e-03,1.323481e-03,0.2434,3.0083,0,2,44,1946,100
14,2046,2060,0.006796,0.922,1.641050e-03,9.236606e-04,0.2347,1.5129,0,2,180,1945,100
15,2045,2060,0.007282,0.922,1.466591e-03,1.318361e-03,0.2414,3.0013,0,2,194,1944,100
16,2044,2060,0.007767,0.922,2.559429e-03,1.487917e-03,0.245,2.9944,0,2,70,1943,100
17,2043,2060,0.008252,0.922,2.353681e-03,1.600094e-03,0.2399,2.9939,0,2,141,1942,100
18,2042,2060,0.008738,0.922,2.863625e-03,1.340221e-03,0.2425,3.0044,0,2,188,1941,100
19,2041,2060,0.009223,0.922,2.925426e-03,1.332612e-03,0.2488,2.9998,0,2,148,1940,100
20,2040,2060,0.009709,0.922,3.406737e-03,1.593834e-03,0.2442,2.9926,0,2,174,1939,100
21,2039,2060,0.010194,0.922,3.659007e-03,1.426087e-03,0.2406,3.0012,0,2,82,1938,100
22,2038,2060,0.01068,0.922,3.686795e-03,1.641349e-03,0.2332,3.0064,0,2,108,1937,100
23,2037,2060,0.011165,0.922,4.482513e-03,1.639594e-03,0.2409,2.999,0,2,177,1936,100
24,2036,2060,0.01165,0.922,4.545578e-03,1.551339e-03,0.2478,3.0031,0,2,2,1935,100
25,2035,2060,0.012136,0.922,5.340920e-03,1.441311e-03,0.2375,2.9988,0,2,77,1934,100
26,2034,2060,0.012621,0.922,4.957442e-03,9.528220e-04,0.2409,3.0059,1,8,2,1934,99
27,2033,2060,0.013107,0.922,6.099344e-03,1.913719e-03,0.2399,2.9947,0,2,10,1933,99
28,2032,2060,0.013592,0.922,7.361250e-03,1.416865e-03,0.2466,3.0019,0,2,173,1932,99
29,2031,2060,0.014078,0.922,6.736991e-03,1.061727e-03,0.2425,2.9977,1,6,2,1932,98
30,2030,2060,0.014563,0.922,8.155376e-03,2.373970e-03,0.2395,3.0032,0,2,151,1931,98
31,2029,2060,0.015049,0.922,1.069542e-02,1.946905e-03,0.2502,2.9981,0,2,23,1930,98
32,2028,2060,0.015534,0.922,8.964892e-03,2.083126e-03,0.2442,2.9955,0,2,65,1929,98
33,2027,2060,0.016019,0.922,1.142775e-02,2.479479e-03,0.2316,2.9906,0,2,168,1928,98
34,2026,2060,0.016505,0.922,9.515019e-03,1.972099e-03,0.2448,2.9947,0,2,159,1927,98
35,2025,2060,0.01699,0.922,1.020374e-02,2.240940e-03,0.2408,2.9953,0,2,153,1926,98
36,2024,2060,0.017476,0.922,1.097751e-02,2.403006e-03,0.245,2.9821,0,2,54,1925,98
37,2023,2060,0.017961,0.922,1.240565e-02,2.917455e-03,0.2425,3.0043,0,2,85,1924,98
38,2022,2060,0.018447,0.922,1.296048e-02,2.440923e-03,0.2382,2.991,0,2,93,1923,98
39,2021,2060,0.018932,0.922,1.458821e-02,3.088561e-03,0.2391,2.9951,0,2,20,1922,98
40,2020,2060,0.019417,0.922,1.486093e-02,2.353985e-03,0.241,2.9953,0,2,154,1921,98
41,2019,2060,0.019903,0.922,1.705746e-02,2.481059e-03,0.243,2.9923,0,2,139,1920,98
42,2018,2060,0.020388,0.922,1.972327e-02,3.989075e-03,0.2497,3.0014,0,2,29,1919,98
43,2017,2060,0.020874,0.922,2.237423e-02,3.007634e-03,0.2479,2.9872,0,2,170,1918,98
44,2016,2060,0.021359,0.922,2.003070e-02,1.529352e-03,0.239,2.985,1,7,2,1918,97
45,2015,2060,0.021845,0.922,2.340126e-02,3.119262e-03,0.2386,2.9997,0,2,48,1917,97
46,2014,2060,0.02233,0.922,2.819387e-02,2.934045e-03,0.2387,2.9915,0,2,104,1916,97
47,2013,2060,0.022816,0.922,2.641436e-02,1.865341e-03,0.2436,2.9954,1,0,2,1916,96
48,2012,2060,0.023301,0.922,3.232117e-02,2.360916e-03,0.239,2.9852,1,9,2,1916,95
49,2011,2060,0.023786,0.922,3.882420e-02,2.219236e-03,0.2376,2.981,0,2,166,1915,95
50,2010,2060,0.024272,0.922,4.546256e-02,3.235384e-03,0.2434,3.005,0,2,192,1914,95
51,2009,2060,0.024757,0.922,4.210240e-02,4.068863e-03,0.2366,3.0,0,2,1,1913,95
52,2008,2060,0.025243,0.922,4.518530e-02,4.155929e-03,0.2349,2.9888,0,2,75,1912,95
53,2007,2060,0.025728,0.922,3.989976e-02,2.531504e-03,0.2435,3.0092,0,2,91,1911,95
54,2006,2060,0.026214,0.922,4.420510e-02,4.225319e-03,0.2374,3.0028,0,2,57,1910,95
55,2005,2060,0.026699,0.922,4.835747e-02,3.751316e-03,0.2343,2.9924,0,2,130,1909,95
56,2004,2060,0.027184,0.922,4.648399e-02,1.960152e-05,0.2369,2.9806,0,0,158,1908,95
57,2003,2060,0.02767,0.922,4.768951e-02,4.175394e-03,0.2332,2.9874,0,2,73,1907,95
58,2002,2060,0.028155,0.922,5.588732e-02,4.029886e-03,0.2385,2.9823,0,2,143,1906,95
59,2001,2060,0.028641,0.922,5.209052e-02,5.741353e-03,0.2378,2.9992,0,2,4,1905,95
60,2000,2060,0.029126,0.922,5.286408e-02,2.731885e-03,0.247,3.0013,0,2,58,1904,95
61,1999,2060,0.029612,0.922,5.227694e-02,4.397708e-03,0.2541,2.9999,0,2,83,1903,95
62,1998,2060,0.030097,0.922,5.971222e-02,3.936451e-03,0.2423,3.0019,0,2,84,1902,95
63,1997,2060,0.030583,0.922,5.299612e-02,8.963600e-05,0.2394,2.9938,0,4,93,1901,95
64,1996,2060,0.031068,0.922,5.503666e-02,3.185750e-03,0.2442,3.0028,0,2,46,1900,95
65,1995,2060,0.031553,0.922,6.568144e-02,5.018894e-03,0.2464,2.9985,0,2,169,1899,95
66,1994,2060,0.032039,0.922,5.872291e-02,3.435676e-03,0.244,3.0005,0,2,191,1898,95
67,1993,2060,0.032524,0.922,6.449097e-02,3.615776e-03,0.2411,2.9997,0,2,94,1897,95
68,1992,2060,0.03301,0.922,6.312061e-02,4.302009e-03,0.2426,3.0036,0,2,182,1896,95
69,1991,2060,0.033495,0.922,7.138244e-02,4.337139e-03,0.2436,2.9951,0,2,99,1895,95
70,1990,2060,0.033981,0.922,6.603862e-02,3.986976e-03,0.239,3.0018,0,2,68,1894,95
71,1989,2060,0.034466,0.922,7.682143e-02,5.131639e-03,0.2396,2.9989,0,2,142,1893,95
72,1988,2060,0.034951,0.922,7.099186e-02,4.465690e-03,0.247,2.9929,0,2,16,1892,95
73,1987,2060,0.035437,0.922,8.608523e-02,4.992113e-03,0.246,3.0113,0,2,98,1891,95
74,1986,2060,0.035922,0.922,8.056740e-02,5.889328e-03,0.2528,3.0034,0,2,125,1890,95
75,1985,2060,0.036408,0.922,9.113445e-02,5.326300e-03,0.2377,2.9959,0,2,135,1889,95
76,1984,2060,0.036893,0.922,8.305151e-02,6.054220e-03,0.2401,3.0105,0,2,34,1888,95
77,1983,2060,0.037379,0.922,9.648471e-02,6.244683e-03,0.2435,2.9958,0,2,119,1887,95
78,1982,2060,0.037864,0.922,8.575164e-02,4.630345e-03,0.2427,2.9907,0,2,7,1886,95
79,1981,2060,0.03835,0.922,9.432024e-02,5.282822e-03,0.2412,2.992,0,2,146,1885,95
80,1980,2060,0.038835,0.922,9.285086e-02,5.854031e-03,0.2418,3.0009,0,2,186,1884,95
81,1979,2060,0.03932,0.922,9.691762e-02,5.534979e-03,0.2395,3.0004,0,2,27,1883,95
82,1978,2060,0.039806,0.922,9.541156e-02,4.535214e-03,0.2339,2.995,0,2,103,1882,95
83,1977,2060,0.040291,0.922,1.017941e-01,5.780299e-03,0.2405,2.9879,0,2,49,1881,95
84,1976,2060,0.040777,0.922,1.065548e-01,4.851929e-03,0.2455,2.9955,0,2,6,1880,95
85,1975,2060,0.041262,0.922,1.104587e-01,7.353205e-03,0.2465,3.0075,0,2,187,1879,95
86,1974,2060,0.041748,0.922,1.140284e-01,6.530038e-03,0.2456,2.9903,0,2,138,1878,95
87,1973,2060,0.042233,0.922,1.205938e-01,5.759539e-03,0.2395,2.9925,0,2,42,1877,95
88,1972,2060,0.042718,0.922,1.155051e-01,4.317424e-03,0.2385,2.9799,0,2,17,1876,95
89,1971,2060,0.043204,0.922,1.268243e-01,5.614208e-03,0.2376,2.9983,0,2,165,1875,95
90,1970,2060,0.043689,0.922,1.333604e-01,7.132150e-03,0.2412,2.9983,0,2,11,1874,95
91,1969,2060,0.044175,0.922,1.346970e-01,6.717690e-03,0.2461,2.9909,0,2,122,1873,95
92,1968,2060,0.04466,0.922,1.322359e-01,5.488326e-03,0.2405,2.9969,0,2,55,1872,95
93,1967,2060,0.045146,0.922,1.288163e-01,5.970697e-03,0.2365,2.9809,0,2,183,1871,95
94,1966,2060,0.045631,0.922,1.345779e-01,7.430365e-03,0.2388,2.9814,0,2,30,1870,95
95,1965,2060,0.046117,0.922,1.286684e-01,4.846999e-03,0.2376,2.9916,0,2,88,1869,95
96,1964,2060,0.046602,0.922,1.279923e-01,5.648518e-03,0.2451,2.9944,0,2,193,1868,95
97,1963,2060,0.047087,0.922,1.433827e-01,8.053060e-03,0.2441,3.0011,0,2,5,1867,95
98,1962,2060,0.047573,0.922,1.352291e-01,8.569150e-03,0.2403,3.0028,0,2,59,1866,95
99,1961,2060,0.048058,0.922,1.357806e-01,8.606141e-03,0.2369,3.0015,0,2,78,1865,95
100,1960,2060,0.048544,0.922,1.296357e-01,5.804000e-03,0.2384,3.0116,0,2,140,1864,95
101,1959,2060,0.049029,0.922,1.417539e-01,7.425924e-03,0.2484,2.9943,0,2,31,1863,95
102,1958,2060,0.049515,0.922,1.385882e-01,8.263863e-03,0.2401,3.0001,0,2,114,1862,95
103,1957,2060,0.05,0.922,1.410500e-01,7.334798e-03,0.2464,3.0048,0,2,190,1861,95
104,1956,2060,0.050485,0.922,1.424849e-01,5.299169e-03,0.2427,3.0027,0,2,124,1860,95
105,1955,2060,0.050971,0.922,1.491326e-01,6.445930e-03,0.2457,2.9812,0,2,105,1859,95
106,1954,2060,0.051456,0.922,1.598291e-01,7.530704e-03,0.2371,3.0013,0,2,56,1858,95
107,1953,2060,0.051942,0.922,1.555957e-01,7.097586e-03,0.2461,3.0045,0,2,66,1857,95
108,1952,2060,0.052427,0.922,1.615457e-01,8.522662e-03,0.2427,3.0008,0,2,22,1856,95
109,1951,2060,0.052913,0.922,1.567354e-01,7.023163e-03,0.2391,2.9907,0,2,43,1855,95
110,1950,2060,0.053398,0.922,1.633514e-01,7.684461e-03,0.2417,2.9829,0,2,132,1854,95
111,1949,2060,0.053883,0.922,1.699783e-01,8.868491e-03,0.243,2.9916,0,2,71,1853,95
112,1948,2060,0.054369,0.922,1.643788e-01,3.945861e-03,0.2341,2.9998,1,4,2,1853,94
113,1947,2060,0.054854,0.922,1.802823e-01,5.829151e-03,0.2416,2.9993,0,2,136,1852,94
114,1946,2060,0.05534,0.922,1.939932e-01,7.474923e-03,0.2513,3.0033,0,2,144,1851,94
115,1945,2060,0.055825,0.922,2.024322e-01,8.911897e-03,0.2467,2.9932,0,2,50,1850,94
116,1944,2060,0.056311,0.922,2.031089e-01,9.369007e-03,0.244,2.9945,0,2,123,1849,94
117,1943,2060,0.056796,0.922,1.999437e-01,7.708535e-03,0.2375,3.0029,0,2,126,1848,94
118,1942,2060,0.057282,0.922,2.029718e-01,7.189520e-03,0.2433,3.0115,0,2,113,1847,94
119,1941,2060,0.057767,0.922,2.127772e-01,8.917615e-03,0.2311,2.9972,0,2,0,1846,94
120,1940,2060,0.058252,0.922,2.196550e-01,9.087444e-03,0.2391,3.0039,0,2,158,1845,94
121,1939,2060,0.058738,0.922,2.185914e-01,5.665760e-03,0.2342,3.0046,0,2,53,1844,94
122,1938,2060,0.059223,0.922,2.242967e-01,8.348311e-03,0.2425,3.0011,0,2,162,1843,94
123,1937,2060,0.059709,0.922,2.354988e-01,9.739246e-03,0.232,3.0053,0,2,161,1842,94
124,1936,2060,0.060194,0.922,2.362758e-01,8.891648e-03,0.2504,3.0001,0,2,167,1841,94
125,1935,2060,0.06068,0.922,2.329355e-01,6.056055e-03,0.2423,3.0043,0,2,80,1840,94
126,1934,2060,0.061165,0.922,2.414989e-01,9.661805e-03,0.2454,3.003,0,2,32,1839,94
127,1933,2060,0.06165,0.922,2.541987e-01,9.580100e-03,0.2511,3.0044,0,2,12,1838,94
128,1932,2060,0.062136,0.922,2.377021e-01,1.074425e-02,0.2405,3.0079,0,2,101,1837,94
129,1931,2060,0.062621,0.922,2.400869e-01,6.237573e-03,0.2346,2.9894,0,2,19,1836,94
130,1930,2060,0.063107,0.922,2.320144e-01,8.134977e-03,0.2419,3.0066,0,2,21,1835,94
131,1929,2060,0.063592,0.922,2.639593e-01,7.625180e-03,0.2316,2.9997,0,2,61,1834,94
132,1928,2060,0.064078,0.922,2.503777e-01,7.227931e-03,0.2304,2.9951,0,2,74,1833,94
133,1927,2060,0.064563,0.922,2.796225e-01,9.770416e-03,0.2464,2.9973,0,2,9,1832,94
134,1926,2060,0.065049,0.922,2.645191e-01,8.821130e-03,0.2406,3.0027,0,2,76,1831,94
135,1925,2060,0.065534,0.922,2.769354e-01,8.628528e-03,0.2349,2.9991,0,2,86,1830,94
136,1924,2060,0.066019,0.922,2.758803e-01,1.021892e-02,0.2404,2.9966,0,2,145,1829,94
