step,NZ,total_W,sparsity,val_acc,d_manifold,d_W,prune_time_s,adjust_time_s,candidate_layer,candidate_i,candidate_j,layer_0_NZ,layer_1_NZ
0,2060,2060,0.0,0.912,0.000000e+00,4.557765e-05,0.7896,3.7978,0,8,27,1959,100
1,2059,2060,0.000485,0.912,3.398590e-05,4.280344e-05,0.2079,2.9999,0,8,84,1958,100
2,2058,2060,0.000971,0.912,3.611749e-05,3.001205e-04,0.1927,2.9706,0,8,79,1957,100
3,2057,2060,0.001456,0.912,1.608762e-03,3.857695e-03,0.1927,2.9738,1,7,8,1957,99
4,2056,2060,0.001942,0.912,8.229718e-03,3.086275e-04,0.2033,2.9783,0,8,171,1956,99
5,2055,2060,0.002427,0.912,1.173732e-02,4.736579e-03,0.1976,2.9757,1,5,8,1956,98
6,2054,2060,0.002913,0.913,1.953586e-02,3.680350e-05,0.2029,2.98,0,1,21,1955,98
7,2053,2060,0.003398,0.913,2.196127e-02,4.821482e-04,0.1905,2.9844,0,8,69,1954,98
8,2052,2060,0.003883,0.913,3.169160e-02,1.148863e-03,0.196,2.9918,0,8,175,1953,98
9,2051,2060,0.004369,0.913,4.641867e-02,1.056350e-03,0.193,2.9916,0,8,19,1952,98
10,2050,2060,0.004854,0.913,4.635549e-02,3.624662e-04,0.1997,2.9857,0,9,181,1951,98
11,2049,2060,0.00534,0.913,5.222866e-02,2.841950e-05,0.2038,2.983,0,2,42,1950,98
12,2048,2060,0.005825,0.913,5.672881e-02,6.705885e-05,0.1983,2.9954,0,1,74,1949,98
13,2047,2060,0.006311,0.913,6.487964e-02,1.207839e-03,0.2001,2.9837,0,8,185,1948,98
14,2046,2060,0.006796,0.913,1.035099e-01,9.721616e-04,0.2019,2.9789,0,8,144,1947,98
15,2045,2060,0.007282,0.913,8.652877e-02,4.623434e-05,0.1952,2.984,0,0,69,1946,98
16,2044,2060,0.007767,0.913,9.424369e-02,6.531411e-04,0.2065,2.9751,0,9,33,1945,98
17,2043,2060,0.008252,0.913,1.161435e-01,6.149043e-04,0.2003,2.9908,0,9,7,1944,98
18,2042,2060,0.008738,0.913,1.221090e-01,7.880341e-04,0.1988,2.9863,0,9,62,1943,98
19,2041,2060,0.009223,0.912,1.482437e-01,3.394421e-03,0.2022,2.9828,1,2,9,1943,97
20,2040,2060,0.009709,0.912,2.250160e-01,1.577217e-03,0.2036,2.983,0,8,80,1942,97
21,2039,2060,0.010194,0.912,2.768521e-01,1.306775e-03,0.1986,2.9898,0,8,71,1941,97
22,2038,2060,0.01068,0.912,2.669771e-01,1.230065e-03,0.2009,2.9934,0,8,32,1940,97
23,2037,2060,0.011165,0.912,3.393706e-01,1.758891e-03,0.1968,2.9714,0,8,192,1939,97
24,2036,2060,0.01165,0.912,3.525022e-01,1.591004e-03,0.193,2.9913,0,8,23,1938,97
25,2035,2060,0.012136,0.912,3.944455e-01,1.866227e-03,0.1934,2.9793,0,8,110,1937,97
26,2034,2060,0.012621,0.912,3.916311e-01,2.545877e-03,0.195,2.9844,0,8,172,1936,97
27,2033,2060,0.013107,0.912,3.902744e-01,2.371249e-03,0.1961,2.9757,0,8,184,1935,97
28,2032,2060,0.013592,0.912,3.995707e-01,2.592876e-03,0.2047,2.97,0,8,141,1934,97
29,2031,2060,0.014078,0.912,4.130499e-01,1.314744e-02,0.2011,2.9996,1,2,8,1934,96
30,2030,2060,0.014563,0.91,4.843202e-01,2.016721e-04,0.1976,2.9976,0,7,119,1933,96
31,2029,2060,0.015049,0.91,5.028699e-01,7.196605e-04,0.1979,2.9985,0,9,112,1932,96
32,2028,2060,0.015534,0.91,5.285375e-01,2.328024e-04,0.2068,2.9846,0,7,109,1931,96
33,2027,2060,0.016019,0.91,5.511959e-01,1.831003e-03,0.1934,2.984,0,8,54,1930,96
34,2026,2060,0.016505,0.91,6.639308e-01,2.834051e-03,0.2048,2.9877,0,8,85,1929,96
35,2025,2060,0.01699,0.91,6.428529e-01,2.009296e-03,0.201,2.9938,0,8,127,1928,96
36,2024,2060,0.017476,0.91,6.515472e-01,2.592636e-03,0.1976,2.9906,0,8,134,1927,96
37,2023,2060,0.017961,0.911,7.191136e-01,2.164760e-03,0.2031,2.9992,0,8,125,1926,96
38,2022,2060,0.018447,0.911,7.369867e-01,8.792848e-05,0.1937,2.9843,0,6,14,1925,96
39,2021,2060,0.018932,0.911,7.522242e-01,5.206920e-03,0.2052,2.9885,1,7,9,1925,95
40,2020,2060,0.019417,0.909,9.245847e-01,2.344017e-02,0.1936,2.9899,1,4,8,1925,94
41,2019,2060,0.019903,0.907,1.193179e+00,2.405203e-03,0.1933,2.9813,0,8,29,1924,94
42,2018,2060,0.020388,0.908,1.376301e+00,3.491584e-03,0.1933,2.9847,0,8,15,1923,94
43,2017,2060,0.020874,0.907,1.301989e+00,3.090044e-03,0.1993,2.9749,0,8,183,1922,94
44,2016,2060,0.021359,0.908,1.366900e+00,3.178101e-03,0.2057,2.9827,0,8,194,1921,94
45,2015,2060,0.021845,0.907,1.319812e+00,3.195283e-03,0.2027,2.9892,0,8,96,1920,94
46,2014,2060,0.02233,0.908,1.483933e+00,3.126712e-03,0.1939,2.9886,0,8,5,1919,94
