step,NZ,total_W,sparsity,val_acc,d_manifold,d_W,prune_time_s,candidate_layer,candidate_i,candidate_j,layer_0_NZ,layer_1_NZ,layer_2_NZ
0,2160,2160,0.0,0.916,0.000000e+00,5.689984e-05,5.5866,0,6,0,1959,100,100
1,2159,2160,0.000463,0.916,0.000000e+00,5.734072e-05,2.6158,0,6,21,1958,100,100
2,2158,2160,0.000926,0.916,0.000000e+00,7.026572e-05,2.5853,0,6,6,1957,100,100
3,2157,2160,0.001389,0.916,0.000000e+00,1.059461e-04,2.6664,0,6,51,1956,100,100
4,2156,2160,0.001852,0.916,0.000000e+00,1.355160e-04,2.6744,0,6,28,1955,100,100
5,2155,2160,0.002315,0.916,0.000000e+00,1.879450e-04,2.6419,0,6,105,1954,100,100
6,2154,2160,0.002778,0.916,0.000000e+00,2.615431e-04,2.6109,0,6,67,1953,100,100
7,2153,2160,0.003241,0.916,0.000000e+00,2.791553e-04,2.6111,0,6,120,1952,100,100
8,2152,2160,0.003704,0.916,0.000000e+00,3.776712e-04,2.6062,0,6,136,1951,100,100
9,2151,2160,0.004167,0.916,0.000000e+00,3.873763e-04,2.6117,0,6,104,1950,100,100
10,2150,2160,0.00463,0.916,0.000000e+00,4.509844e-04,2.586,0,6,153,1949,100,100
11,2149,2160,0.005093,0.916,0.000000e+00,5.319796e-04,2.583,0,6,59,1948,100,100
12,2148,2160,0.005556,0.916,0.000000e+00,6.422311e-04,2.5648,0,6,190,1947,100,100
13,2147,2160,0.006019,0.916,0.000000e+00,6.511355e-04,2.607,0,6,15,1946,100,100
14,2146,2160,0.006481,0.916,0.000000e+00,6.755160e-04,2.5908,0,6,40,1945,100,100
15,2145,2160,0.006944,0.916,0.000000e+00,6.871196e-04,2.5625,0,6,140,1944,100,100
16,2144,2160,0.007407,0.916,0.000000e+00,7.478845e-04,2.5901,0,6,189,1943,100,100
17,2143,2160,0.00787,0.916,0.000000e+00,8.116362e-04,2.6074,1,0,5,1943,99,100
18,2142,2160,0.008333,0.916,0.000000e+00,8.400211e-04,2.6108,0,6,53,1942,99,100
19,2141,2160,0.008796,0.916,0.000000e+00,8.751014e-04,2.5692,2,5,0,1942,99,99
20,2140,2160,0.009259,0.916,0.000000e+00,9.647790e-04,2.6537,0,6,74,1941,99,99
