step,NZ,total_W,sparsity,val_acc,d_manifold,d_W,prune_time_s,adjust_time_s,candidate_layer,candidate_i,candidate_j,layer_0_NZ,layer_1_NZ,layer_2_NZ,layer_3_NZ
0,2260,2260,0.0,0.142,0.000000e+00,1.279665e-02,1.1206,0.8289,1,0,9,1960,99,100,100
1,2259,2260,0.000442,0.142,0.000000e+00,9.909726e-03,0.5469,0.0978,1,3,9,1960,98,100,100
2,2258,2260,0.000885,0.142,0.000000e+00,1.523188e-03,0.538,0.0901,1,7,0,1960,97,100,100
3,2257,2260,0.001327,0.142,0.000000e+00,2.178426e-03,0.5519,0.0918,1,7,2,1960,96,100,100
4,2256,2260,0.00177,0.142,0.000000e+00,6.398566e-03,0.5157,0.0902,1,7,3,1960,95,100,100
5,2255,2260,0.002212,0.142,0.000000e+00,3.400599e-03,0.51,0.0921,1,7,4,1960,94,100,100
6,2254,2260,0.002655,0.142,0.000000e+00,2.013702e-02,0.5007,0.0898,1,7,1,1960,93,100,100
7,2253,2260,0.003097,0.142,0.000000e+00,4.848448e-03,0.4965,0.0909,1,7,8,1960,92,100,100
8,2252,2260,0.00354,0.142,0.000000e+00,8.454062e-03,0.5008,0.0925,1,7,9,1960,91,100,100
9,2251,2260,0.003982,0.142,0.000000e+00,1.395118e-02,0.5065,0.091,2,0,0,1960,91,99,100
10,2250,2260,0.004425,0.142,0.000000e+00,5.422385e-03,0.5016,0.0901,2,0,7,1960,91,98,100
11,2249,2260,0.004867,0.142,0.000000e+00,1.194651e-02,0.5086,0.0919,2,1,0,1960,91,97,100
12,2248,2260,0.00531,0.142,0.000000e+00,5.406835e-03,0.5058,0.093,2,1,7,1960,91,96,100
13,2247,2260,0.005752,0.142,0.000000e+00,6.352675e-03,0.5011,0.09,2,2,7,1960,91,95,100
14,2246,2260,0.006195,0.142,0.000000e+00,3.428533e-03,0.5035,0.088,2,3,7,1960,91,94,100
15,2245,2260,0.006637,0.142,0.000000e+00,1.420612e-02,0.5063,0.091,2,4,7,1960,91,93,100
16,2244,2260,0.00708,0.142,0.000000e+00,7.071481e-03,0.5064,0.0913,2,5,0,1960,91,92,100
17,2243,2260,0.007522,0.142,0.000000e+00,3.082079e-03,0.5065,0.0907,2,5,3,1960,91,91,100
18,2242,2260,0.007965,0.142,0.000000e+00,1.031862e-03,0.5123,0.0928,2,5,7,1960,91,90,100
