step,NZ,total_W,sparsity,val_acc,d_manifold,d_W,prune_time_s,adjust_time_s,candidate_layer,candidate_i,candidate_j,layer_0_NZ,layer_1_NZ,layer_2_NZ
0,2160,2160,0.0,0.916,0.000000e+00,1.851887e-02,4.4437,0.9074,2,9,0,1960,100,99
1,2159,2160,0.000463,0.916,0.000000e+00,1.337247e-02,3.7424,0.0586,0,6,168,1959,100,99
2,2158,2160,0.000926,0.916,0.000000e+00,3.490606e-03,3.806,0.0499,0,6,8,1958,100,99
3,2157,2160,0.001389,0.916,0.000000e+00,2.179312e-02,4.0322,0.0582,0,6,73,1957,100,99
4,2156,2160,0.001852,0.916,0.000000e+00,2.008096e-03,3.8679,0.0518,0,6,171,1956,100,99
5,2155,2160,0.002315,0.916,0.000000e+00,5.689984e-05,3.951,0.0548,0,6,0,1955,100,99
6,2154,2160,0.002778,0.916,0.000000e+00,2.909136e-03,3.9848,0.0462,0,6,173,1954,100,99
7,2153,2160,0.003241,0.916,0.000000e+00,1.956499e-03,3.8225,0.0528,0,6,42,1953,100,99
8,2152,2160,0.003704,0.916,0.000000e+00,7.726777e-03,3.8958,0.0487,0,6,10,1952,100,99
